	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Hormathia_digitata	1	0.989655172413793	1	1	1	1	1	1	0.662068965517241	0.7	1	0	1	1	1	1	1	0.989655172413793	1	1	0	1	1	1	0	1	0	1	0	1	1	1		1	0.637931034482759	1	0.144827586206897	1	1	0	1	1	1	0.979310344827586	1	0.606896551724138	1	1	1	1	1	0.896551724137931	1	1	1	1	1	1	1	0.982758620689655	0.982758620689655	0.172413793103448	1	1	0	1	1	0.86551724137931	1	1	1	0	0	1	0	0.375862068965517	1
Hydra_magnipapillata	1	0.989655172413793	1	1	1	1	1	1	0.662068965517241	0.7	1	0	1	1	1	1	1	0.989655172413793	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1		0.637931034482759	1	0.144827586206897	1	1	0	1	1	1	0.979310344827586	1	0.606896551724138	1	1	1	1	1	0.896551724137931	1	1	1	1	1	1	1	0.982758620689655	0.982758620689655	0.172413793103448	1	1	0	1	1	0.86551724137931	1	1	1	0	0	1	0	0.375862068965517	1
Hydractinia_polyclina	0.637931034482759	0.637931034482759	0.637931034482759	0.637931034482759	0.637931034482759	0.637931034482759	0.637931034482759	0.637931034482759	0.3	0.337931034482759	0.637931034482759	0	0.637931034482759	0.637931034482759	0.637931034482759	0.637931034482759	0.637931034482759	0.627586206896552	0.637931034482759	0.637931034482759	0	0.637931034482759	0.637931034482759	0.637931034482759	0	0.637931034482759	0	0.637931034482759	0	0.637931034482759	0.637931034482759	0.637931034482759	0.637931034482759	0.637931034482759		0.637931034482759	0.144827586206897	0.637931034482759	0.637931034482759	0	0.637931034482759	0.637931034482759	0.637931034482759	0.624137931034483	0.637931034482759	0.606896551724138	0.637931034482759	0.637931034482759	0.637931034482759	0.637931034482759	0.637931034482759	0.610344827586207	0.637931034482759	0.637931034482759	0.637931034482759	0.637931034482759	0.637931034482759	0.637931034482759	0.637931034482759	0.637931034482759	0.620689655172414	0.172413793103448	0.637931034482759	0.637931034482759	0	0.637931034482759	0.637931034482759	0.572413793103448	0.637931034482759	0.637931034482759	0.637931034482759	0	0	0.637931034482759	0	0.375862068965517	0.637931034482759
Ilyanassa_obsoleta	1	0.989655172413793	1	1	1	1	1	1	0.662068965517241	0.7	1	0	1	1	1	1	1	0.989655172413793	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1	0.637931034482759		0.144827586206897	1	1	0	1	1	1	0.979310344827586	1	0.606896551724138	1	1	1	1	1	0.896551724137931	1	1	1	1	1	1	1	0.982758620689655	0.982758620689655	0.172413793103448	1	1	0	1	1	0.86551724137931	1	1	1	0	0	1	0	0.375862068965517	1
Ixodes_scapularis	0.144827586206897	0.144827586206897	0.144827586206897	0.144827586206897	0.144827586206897	0.144827586206897	0.144827586206897	0.144827586206897	0.0103448275862069	0.144827586206897	0.144827586206897	0	0.144827586206897	0.144827586206897	0.144827586206897	0.144827586206897	0.144827586206897	0.144827586206897	0.144827586206897	0.144827586206897	0	0.144827586206897	0.144827586206897	0.144827586206897	0	0.144827586206897	0	0.144827586206897	0	0.144827586206897	0.144827586206897	0.144827586206897	0.144827586206897	0.144827586206897	0.144827586206897	0.144827586206897		0.144827586206897	0.144827586206897	0	0.144827586206897	0.144827586206897	0.144827586206897	0.144827586206897	0.144827586206897	0.144827586206897	0.144827586206897	0.144827586206897	0.144827586206897	0.144827586206897	0.144827586206897	0.144827586206897	0.144827586206897	0.144827586206897	0.144827586206897	0.144827586206897	0.144827586206897	0.144827586206897	0.144827586206897	0.144827586206897	0.144827586206897	0.0793103448275862	0.144827586206897	0.144827586206897	0	0.144827586206897	0.144827586206897	0.144827586206897	0.144827586206897	0.144827586206897	0.144827586206897	0	0	0.144827586206897	0	0.144827586206897	0.144827586206897
Kudoa_iwatai	1	0.989655172413793	1	1	1	1	1	1	0.662068965517241	0.7	1	0	1	1	1	1	1	0.989655172413793	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1	0.637931034482759	1	0.144827586206897		1	0	1	1	1	0.979310344827586	1	0.606896551724138	1	1	1	1	1	0.896551724137931	1	1	1	1	1	1	1	0.982758620689655	0.982758620689655	0.172413793103448	1	1	0	1	1	0.86551724137931	1	1	1	0	0	1	0	0.375862068965517	1
Latimeria_menadoensis	1	0.989655172413793	1	1	1	1	1	1	0.662068965517241	0.7	1	0	1	1	1	1	1	0.989655172413793	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1	0.637931034482759	1	0.144827586206897	1		0	1	1	1	0.979310344827586	1	0.606896551724138	1	1	1	1	1	0.896551724137931	1	1	1	1	1	1	1	0.982758620689655	0.982758620689655	0.172413793103448	1	1	0	1	1	0.86551724137931	1	1	1	0	0	1	0	0.375862068965517	1
Leucetta_chagosensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ministeria_vibrans_atcc50519	1	0.989655172413793	1	1	1	1	1	1	0.662068965517241	0.7	1	0	1	1	1	1	1	0.989655172413793	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1	0.637931034482759	1	0.144827586206897	1	1	0		1	1	0.979310344827586	1	0.606896551724138	1	1	1	1	1	0.896551724137931	1	1	1	1	1	1	1	0.982758620689655	0.982758620689655	0.172413793103448	1	1	0	1	1	0.86551724137931	1	1	1	0	0	1	0	0.375862068965517	1
Mnemiopsis_leidyi	1	0.989655172413793	1	1	1	1	1	1	0.662068965517241	0.7	1	0	1	1	1	1	1	0.989655172413793	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1	0.637931034482759	1	0.144827586206897	1	1	0	1		1	0.979310344827586	1	0.606896551724138	1	1	1	1	1	0.896551724137931	1	1	1	1	1	1	1	0.982758620689655	0.982758620689655	0.172413793103448	1	1	0	1	1	0.86551724137931	1	1	1	0	0	1	0	0.375862068965517	1
