	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Sarcotragus_fasciculatus	0	0	0	0	0	0	0.155979202772964	0.17157712305026	0	0.154246100519931	0	0.17157712305026	0	0	0	0	0	0	0	0	0.17157712305026	0	0	0	0.0155979202772964	0.0155979202772964	0	0.17157712305026	0.17157712305026	0	0.0797227036395147	0	0.0311958405545927	0	0.0121317157712305	0	0	0	0	0.17157712305026	0.17157712305026	0	0	0	0	0	0	0	0	0	0	0.0138648180242634	0.0155979202772964	0	0.0623916811091854	0	0.17157712305026	0	0	0.17157712305026	0	0		0	0	0	0.17157712305026	0.0207972270363951	0	0	0	0.17157712305026	0.0502599653379549	0	0.17157712305026	0.17157712305026	0
Sphaeroforma_arctica_jp610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0
Sphaeromyxa_zaharoni	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0
Stephanoeca_diplocostata	0.0658578856152513	0.0103986135181976	0	0.00173310225303293	0	0	0.30155979202773	0.339688041594454	0.0641247833622184	0.199306759098787	0	0.422876949740035	0	0.00173310225303293	0.282495667244367	0	0.155979202772964	0	0	0	0.422876949740035	0.00173310225303293	0	0	0.175043327556326	0	0.251299826689775	0.0866551126516465	0.259965337954939	0	0.140381282495667	0	0	0.0554592720970537	0	0	0	0	0	0.422876949740035	0.273830155979203	0	0.0606585788561525	0	0.0259965337954939	0	0.0103986135181976	0	0	0	0	0.0103986135181976	0.0225303292894281	0	0.0658578856152513	0.0173310225303293	0.0589254766031196	0.0259965337954939	0	0.273830155979203	0	0.00173310225303293	0	0	0		0.0589254766031196	0.0641247833622184	0.024263431542461	0	0	0.422876949740035	0.0762564991334489	0	0.265164644714038	0.422876949740035	0
Stomolophus_meleagris	0.0415944540727903	0	0	0.00173310225303293	0	0	0.298093587521664	0.438474870017331	0.161178509532062	0.235701906412478	0	0.438474870017331	0	0.00173310225303293	0	0	0	0	0	0	0.438474870017331	0.00173310225303293	0	0	0.0346620450606586	0.0381282495667244	0	0.325823223570191	0.438474870017331	0	0.30155979202773	0	0.0311958405545927	0	0.0173310225303293	0	0	0	0	0.438474870017331	0.280762564991335	0	0	0.0554592720970537	0	0	0	0.00519930675909879	0	0.00693240901213172	0	0.024263431542461	0.0953206239168111	0	0.0623916811091854	0.0121317157712305	0.438474870017331	0.0103986135181976	0	0.438474870017331	0	0.00173310225303293	0.17157712305026	0	0	0.0589254766031196		0.0831889081455806	0	0	0	0.438474870017331	0.097053726169844	0	0.438474870017331	0.438474870017331	0
Strigamia_maritima	0.0277296360485269	0.0103986135181976	0	0	0	0	0.0849220103986135	0.143847487001733	0.0623916811091854	0.0225303292894281	0	0.143847487001733	0	0	0.0606585788561525	0	0.0606585788561525	0	0	0	0.143847487001733	0	0	0	0.0779896013864818	0	0.0606585788561525	0.0537261698440208	0.143847487001733	0	0.1421143847487	0	0.0207972270363951	0	0	0	0	0	0	0.143847487001733	0.0849220103986135	0	0.0606585788561525	0.048526863084922	0	0	0	0.00519930675909879	0	0.00693240901213172	0	0	0.0589254766031196	0	0.0207972270363951	0	0.0831889081455806	0.0103986135181976	0	0.0831889081455806	0	0	0.0207972270363951	0	0	0.0641247833622184	0.0831889081455806		0.024263431542461	0	0	0.143847487001733	0.0173310225303293	0	0.0831889081455806	0.143847487001733	0
Strongylocentrotus_purpuratus	0.024263431542461	0.0103986135181976	0	0	0	0	0.024263431542461	0.024263431542461	0	0	0	0.024263431542461	0	0	0.024263431542461	0	0.024263431542461	0	0	0	0.024263431542461	0	0	0	0.024263431542461	0	0.024263431542461	0	0.024263431542461	0	0.024263431542461	0	0	0	0	0	0	0	0	0.024263431542461	0.024263431542461	0	0.024263431542461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024263431542461	0	0.024263431542461		0	0	0.024263431542461	0	0	0	0.024263431542461	0
Sycon_ciliatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0
Sycon_coactum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0
Tetracapsuloides_bryosalmonae	0.0675909878682842	0.0103986135181976	0	0.00173310225303293	0	0	0.722703639514731	0.916811091854419	0.175043327556326	0.509532062391681	0	1	0	0.00173310225303293	0.282495667244367	0	0.259965337954939	0	0	0	1	0.00173310225303293	0	0	0.21317157712305	0.0381282495667244	0.251299826689775	0.353552859618718	0.703639514731369	0	0.459272097053726	0	0.0311958405545927	0.0554592720970537	0.0173310225303293	0	0	0	0	1	0.570190641247834	0	0.0606585788561525	0.0797227036395147	0.0259965337954939	0	0.0103986135181976	0.00519930675909879	0	0.00693240901213172	0	0.024263431542461	0.0953206239168111	0	0.128249566724437	0.0294627383015598	0.476603119584055	0.0363951473136915	0	0.850953206239168	0	0.00173310225303293	0.17157712305026	0	0	0.422876949740035	0.438474870017331	0.143847487001733	0.024263431542461	0	0		0.20103986135182	0	0.842287694974003	1	0
Thelohanellus_kitauei	0.0346620450606586	0	0	0.00173310225303293	0	0	0.164644714038128	0.178509532062392	0.0467937608318891	0.133448873483536	0	0.20103986135182	0	0.00173310225303293	0.0259965337954939	0	0.0277296360485269	0	0	0	0.20103986135182	0.00173310225303293	0	0	0.0554592720970537	0	0.0225303292894281	0.097053726169844	0.150779896013865	0	0.0831889081455806	0	0.00346620450606586	0	0.0103986135181976	0	0	0	0	0.20103986135182	0.145580589254766	0	0	0.0138648180242634	0	0	0	0	0	0.00693240901213172	0	0.024263431542461	0.0363951473136915	0	0.00346620450606586	0	0.117850953206239	0.00866551126516464	0	0.180242634315425	0	0.00173310225303293	0.0502599653379549	0	0	0.0762564991334489	0.097053726169844	0.0173310225303293	0	0	0	0.20103986135182		0	0.180242634315425	0.20103986135182	0
Trichoplax_adhaerens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0
Tripedalia_cystophora	0.0433275563258232	0	0	0.00173310225303293	0	0	0.564991334488735	0.759098786828423	0.175043327556326	0.509532062391681	0	0.842287694974003	0	0.00173310225303293	0.124783362218371	0	0.178509532062392	0	0	0	0.842287694974003	0.00173310225303293	0	0	0.0554592720970537	0.0381282495667244	0.0935875216637782	0.353552859618718	0.545927209705373	0	0.386481802426343	0	0.0311958405545927	0.0554592720970537	0.0173310225303293	0	0	0	0	0.842287694974003	0.462738301559792	0	0	0.0797227036395147	0.0259965337954939	0	0.0103986135181976	0.00519930675909879	0	0.00693240901213172	0	0.024263431542461	0.0953206239168111	0	0.097053726169844	0.0121317157712305	0.476603119584055	0.0363951473136915	0	0.842287694974003	0	0.00173310225303293	0.17157712305026	0	0	0.265164644714038	0.438474870017331	0.0831889081455806	0	0	0	0.842287694974003	0.180242634315425	0		0.842287694974003	0
Urticina_eques	0.0675909878682842	0.0103986135181976	0	0.00173310225303293	0	0	0.722703639514731	0.916811091854419	0.175043327556326	0.509532062391681	0	1	0	0.00173310225303293	0.282495667244367	0	0.259965337954939	0	0	0	1	0.00173310225303293	0	0	0.21317157712305	0.0381282495667244	0.251299826689775	0.353552859618718	0.703639514731369	0	0.459272097053726	0	0.0311958405545927	0.0554592720970537	0.0173310225303293	0	0	0	0	1	0.570190641247834	0	0.0606585788561525	0.0797227036395147	0.0259965337954939	0	0.0103986135181976	0.00519930675909879	0	0.00693240901213172	0	0.024263431542461	0.0953206239168111	0	0.128249566724437	0.0294627383015598	0.476603119584055	0.0363951473136915	0	0.850953206239168	0	0.00173310225303293	0.17157712305026	0	0	0.422876949740035	0.438474870017331	0.143847487001733	0.024263431542461	0	0	1	0.20103986135182	0	0.842287694974003		0
Vallicula_multiformis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
