	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Branchiostoma_floridae	0.994987468671679	0.989974937343358	0.989974937343358	0.99749373433584	0.987468671679198	0.992481203007519	0.99749373433584	0.99749373433584	0.912280701754386	0.93984962406015		0	0.99749373433584	0.994987468671679	0.927318295739348	0.99749373433584	0.99749373433584	0.99749373433584	0.99749373433584	0.99749373433584	0	0.99749373433584	0.99749373433584	0.989974937343358	0.669172932330827	0.994987468671679	0.989974937343358	0.766917293233083	0.99749373433584	0.989974937343358	0.99749373433584	0.99749373433584	0.989974937343358	0.99749373433584	0.99749373433584	0.99749373433584	0.992481203007519	0.99749373433584	0.99749373433584	0.280701754385965	0.884711779448622	0.99749373433584	0.987468671679198	0.977443609022556	0.989974937343358	0.99749373433584	0.99749373433584	0.99749373433584	0.989974937343358	0.99749373433584	0.99749373433584	0.99749373433584	0.989974937343358	0.994987468671679	0.99749373433584	0.99749373433584	0.99749373433584	0.972431077694236	0.99749373433584	0.897243107769424	0.99749373433584	0.99749373433584	0.99749373433584	0.99749373433584	0.81453634085213	0.984962406015038	0.99749373433584	0.989974937343358	0.99749373433584	0.99749373433584	0.99749373433584	0	0.987468671679198	0.99749373433584	0.458646616541353	0.571428571428571	0.99749373433584
Buddenbrockia_plumatellae	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Capitella_teleta	0.99749373433584	0.992481203007519	0.992481203007519	1	0.989974937343358	0.994987468671679	0.99749373433584	1	0.912280701754386	0.942355889724311	0.99749373433584	0		0.99749373433584	0.929824561403509	1	0.99749373433584	1	1	1	0	1	0.99749373433584	0.992481203007519	0.671679197994987	0.99749373433584	0.992481203007519	0.769423558897243	1	0.992481203007519	1	1	0.992481203007519	0.99749373433584	0.99749373433584	1	0.994987468671679	1	1	0.280701754385965	0.884711779448622	1	0.989974937343358	0.979949874686717	0.992481203007519	1	0.99749373433584	1	0.992481203007519	1	1	1	0.992481203007519	0.99749373433584	1	1	1	0.974937343358396	1	0.899749373433584	1	1	1	1	0.817042606516291	0.987468671679198	1	0.992481203007519	1	1	1	0	0.989974937343358	1	0.461152882205514	0.573934837092732	1
Capsaspora_owczarzaki_atcc30864	0.994987468671679	0.989974937343358	0.989974937343358	0.99749373433584	0.987468671679198	0.994987468671679	0.994987468671679	0.99749373433584	0.909774436090226	0.93984962406015	0.994987468671679	0	0.99749373433584		0.929824561403509	0.99749373433584	0.994987468671679	0.99749373433584	0.99749373433584	0.99749373433584	0	0.99749373433584	0.994987468671679	0.989974937343358	0.671679197994987	0.994987468671679	0.989974937343358	0.769423558897243	0.99749373433584	0.989974937343358	0.99749373433584	0.99749373433584	0.989974937343358	0.994987468671679	0.994987468671679	0.99749373433584	0.992481203007519	0.99749373433584	0.99749373433584	0.280701754385965	0.882205513784461	0.99749373433584	0.989974937343358	0.979949874686717	0.989974937343358	0.99749373433584	0.994987468671679	0.99749373433584	0.989974937343358	0.99749373433584	0.99749373433584	0.99749373433584	0.989974937343358	0.994987468671679	0.99749373433584	0.99749373433584	0.99749373433584	0.972431077694236	0.99749373433584	0.899749373433584	0.99749373433584	0.99749373433584	0.99749373433584	0.99749373433584	0.817042606516291	0.987468671679198	0.99749373433584	0.989974937343358	0.99749373433584	0.99749373433584	0.99749373433584	0	0.987468671679198	0.99749373433584	0.461152882205514	0.573934837092732	0.99749373433584
Chondrilla_nucula	0.927318295739348	0.922305764411028	0.922305764411028	0.929824561403509	0.919799498746867	0.929824561403509	0.927318295739348	0.929824561403509	0.842105263157895	0.87218045112782	0.927318295739348	0	0.929824561403509	0.929824561403509		0.929824561403509	0.927318295739348	0.929824561403509	0.929824561403509	0.929824561403509	0	0.929824561403509	0.927318295739348	0.922305764411028	0.671679197994987	0.927318295739348	0.922305764411028	0.729323308270677	0.929824561403509	0.922305764411028	0.929824561403509	0.929824561403509	0.922305764411028	0.927318295739348	0.927318295739348	0.929824561403509	0.924812030075188	0.929824561403509	0.929824561403509	0.280701754385965	0.817042606516291	0.929824561403509	0.929824561403509	0.919799498746867	0.922305764411028	0.929824561403509	0.927318295739348	0.929824561403509	0.922305764411028	0.929824561403509	0.929824561403509	0.929824561403509	0.922305764411028	0.927318295739348	0.929824561403509	0.929824561403509	0.929824561403509	0.904761904761905	0.929824561403509	0.899749373433584	0.929824561403509	0.929824561403509	0.929824561403509	0.929824561403509	0.817042606516291	0.927318295739348	0.929824561403509	0.922305764411028	0.929824561403509	0.929824561403509	0.929824561403509	0	0.919799498746867	0.929824561403509	0.461152882205514	0.573934837092732	0.929824561403509
Ciona_intestinalis	0.99749373433584	0.992481203007519	0.992481203007519	1	0.989974937343358	0.994987468671679	0.99749373433584	1	0.912280701754386	0.942355889724311	0.99749373433584	0	1	0.99749373433584	0.929824561403509		0.99749373433584	1	1	1	0	1	0.99749373433584	0.992481203007519	0.671679197994987	0.99749373433584	0.992481203007519	0.769423558897243	1	0.992481203007519	1	1	0.992481203007519	0.99749373433584	0.99749373433584	1	0.994987468671679	1	1	0.280701754385965	0.884711779448622	1	0.989974937343358	0.979949874686717	0.992481203007519	1	0.99749373433584	1	0.992481203007519	1	1	1	0.992481203007519	0.99749373433584	1	1	1	0.974937343358396	1	0.899749373433584	1	1	1	1	0.817042606516291	0.987468671679198	1	0.992481203007519	1	1	1	0	0.989974937343358	1	0.461152882205514	0.573934837092732	1
Clytia_hemisphaerica	0.994987468671679	0.989974937343358	0.989974937343358	0.99749373433584	0.987468671679198	0.992481203007519	0.99749373433584	0.99749373433584	0.912280701754386	0.93984962406015	0.99749373433584	0	0.99749373433584	0.994987468671679	0.927318295739348	0.99749373433584		0.99749373433584	0.99749373433584	0.99749373433584	0	0.99749373433584	0.99749373433584	0.989974937343358	0.669172932330827	0.994987468671679	0.989974937343358	0.766917293233083	0.99749373433584	0.989974937343358	0.99749373433584	0.99749373433584	0.989974937343358	0.99749373433584	0.99749373433584	0.99749373433584	0.992481203007519	0.99749373433584	0.99749373433584	0.280701754385965	0.884711779448622	0.99749373433584	0.987468671679198	0.977443609022556	0.989974937343358	0.99749373433584	0.99749373433584	0.99749373433584	0.989974937343358	0.99749373433584	0.99749373433584	0.99749373433584	0.989974937343358	0.994987468671679	0.99749373433584	0.99749373433584	0.99749373433584	0.972431077694236	0.99749373433584	0.897243107769424	0.99749373433584	0.99749373433584	0.99749373433584	0.99749373433584	0.81453634085213	0.984962406015038	0.99749373433584	0.989974937343358	0.99749373433584	0.99749373433584	0.99749373433584	0	0.987468671679198	0.99749373433584	0.458646616541353	0.571428571428571	0.99749373433584
Corticium_candelabrum	0.99749373433584	0.992481203007519	0.992481203007519	1	0.989974937343358	0.994987468671679	0.99749373433584	1	0.912280701754386	0.942355889724311	0.99749373433584	0	1	0.99749373433584	0.929824561403509	1	0.99749373433584		1	1	0	1	0.99749373433584	0.992481203007519	0.671679197994987	0.99749373433584	0.992481203007519	0.769423558897243	1	0.992481203007519	1	1	0.992481203007519	0.99749373433584	0.99749373433584	1	0.994987468671679	1	1	0.280701754385965	0.884711779448622	1	0.989974937343358	0.979949874686717	0.992481203007519	1	0.99749373433584	1	0.992481203007519	1	1	1	0.992481203007519	0.99749373433584	1	1	1	0.974937343358396	1	0.899749373433584	1	1	1	1	0.817042606516291	0.987468671679198	1	0.992481203007519	1	1	1	0	0.989974937343358	1	0.461152882205514	0.573934837092732	1
Craspedacusta_sowerbyi	0.99749373433584	0.992481203007519	0.992481203007519	1	0.989974937343358	0.994987468671679	0.99749373433584	1	0.912280701754386	0.942355889724311	0.99749373433584	0	1	0.99749373433584	0.929824561403509	1	0.99749373433584	1		1	0	1	0.99749373433584	0.992481203007519	0.671679197994987	0.99749373433584	0.992481203007519	0.769423558897243	1	0.992481203007519	1	1	0.992481203007519	0.99749373433584	0.99749373433584	1	0.994987468671679	1	1	0.280701754385965	0.884711779448622	1	0.989974937343358	0.979949874686717	0.992481203007519	1	0.99749373433584	1	0.992481203007519	1	1	1	0.992481203007519	0.99749373433584	1	1	1	0.974937343358396	1	0.899749373433584	1	1	1	1	0.817042606516291	0.987468671679198	1	0.992481203007519	1	1	1	0	0.989974937343358	1	0.461152882205514	0.573934837092732	1
Crassostrea_gigas	0.99749373433584	0.992481203007519	0.992481203007519	1	0.989974937343358	0.994987468671679	0.99749373433584	1	0.912280701754386	0.942355889724311	0.99749373433584	0	1	0.99749373433584	0.929824561403509	1	0.99749373433584	1	1		0	1	0.99749373433584	0.992481203007519	0.671679197994987	0.99749373433584	0.992481203007519	0.769423558897243	1	0.992481203007519	1	1	0.992481203007519	0.99749373433584	0.99749373433584	1	0.994987468671679	1	1	0.280701754385965	0.884711779448622	1	0.989974937343358	0.979949874686717	0.992481203007519	1	0.99749373433584	1	0.992481203007519	1	1	1	0.992481203007519	0.99749373433584	1	1	1	0.974937343358396	1	0.899749373433584	1	1	1	1	0.817042606516291	0.987468671679198	1	0.992481203007519	1	1	1	0	0.989974937343358	1	0.461152882205514	0.573934837092732	1
Cyanea_capillata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Daphnia_pulex	0.99749373433584	0.992481203007519	0.992481203007519	1	0.989974937343358	0.994987468671679	0.99749373433584	1	0.912280701754386	0.942355889724311	0.99749373433584	0	1	0.99749373433584	0.929824561403509	1	0.99749373433584	1	1	1	0		0.99749373433584	0.992481203007519	0.671679197994987	0.99749373433584	0.992481203007519	0.769423558897243	1	0.992481203007519	1	1	0.992481203007519	0.99749373433584	0.99749373433584	1	0.994987468671679	1	1	0.280701754385965	0.884711779448622	1	0.989974937343358	0.979949874686717	0.992481203007519	1	0.99749373433584	1	0.992481203007519	1	1	1	0.992481203007519	0.99749373433584	1	1	1	0.974937343358396	1	0.899749373433584	1	1	1	1	0.817042606516291	0.987468671679198	1	0.992481203007519	1	1	1	0	0.989974937343358	1	0.461152882205514	0.573934837092732	1
Ectopleura_larynx	0.994987468671679	0.989974937343358	0.989974937343358	0.99749373433584	0.987468671679198	0.992481203007519	0.99749373433584	0.99749373433584	0.912280701754386	0.93984962406015	0.99749373433584	0	0.99749373433584	0.994987468671679	0.927318295739348	0.99749373433584	0.99749373433584	0.99749373433584	0.99749373433584	0.99749373433584	0	0.99749373433584		0.989974937343358	0.669172932330827	0.994987468671679	0.989974937343358	0.766917293233083	0.99749373433584	0.989974937343358	0.99749373433584	0.99749373433584	0.989974937343358	0.99749373433584	0.99749373433584	0.99749373433584	0.992481203007519	0.99749373433584	0.99749373433584	0.280701754385965	0.884711779448622	0.99749373433584	0.987468671679198	0.977443609022556	0.989974937343358	0.99749373433584	0.99749373433584	0.99749373433584	0.989974937343358	0.99749373433584	0.99749373433584	0.99749373433584	0.989974937343358	0.994987468671679	0.99749373433584	0.99749373433584	0.99749373433584	0.972431077694236	0.99749373433584	0.897243107769424	0.99749373433584	0.99749373433584	0.99749373433584	0.99749373433584	0.81453634085213	0.984962406015038	0.99749373433584	0.989974937343358	0.99749373433584	0.99749373433584	0.99749373433584	0	0.987468671679198	0.99749373433584	0.458646616541353	0.571428571428571	0.99749373433584
Edwardsiella_lineata	0.989974937343358	0.992481203007519	0.992481203007519	0.992481203007519	0.982456140350877	0.987468671679198	0.989974937343358	0.992481203007519	0.912280701754386	0.93483709273183	0.989974937343358	0	0.992481203007519	0.989974937343358	0.922305764411028	0.992481203007519	0.989974937343358	0.992481203007519	0.992481203007519	0.992481203007519	0	0.992481203007519	0.989974937343358		0.664160401002506	0.989974937343358	0.992481203007519	0.761904761904762	0.992481203007519	0.992481203007519	0.992481203007519	0.992481203007519	0.992481203007519	0.989974937343358	0.989974937343358	0.992481203007519	0.987468671679198	0.992481203007519	0.992481203007519	0.273182957393484	0.87719298245614	0.992481203007519	0.982456140350877	0.972431077694236	0.992481203007519	0.992481203007519	0.989974937343358	0.992481203007519	0.992481203007519	0.992481203007519	0.992481203007519	0.992481203007519	0.984962406015038	0.989974937343358	0.992481203007519	0.992481203007519	0.992481203007519	0.974937343358396	0.992481203007519	0.899749373433584	0.992481203007519	0.992481203007519	0.992481203007519	0.992481203007519	0.80952380952381	0.979949874686717	0.992481203007519	0.987468671679198	0.992481203007519	0.992481203007519	0.992481203007519	0	0.984962406015038	0.992481203007519	0.461152882205514	0.573934837092732	0.992481203007519
