	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Sarcotragus_fasciculatus	0.497872340425532	0.502127659574468	0.502127659574468	0.502127659574468	0.502127659574468	0.502127659574468	0.502127659574468	0.502127659574468	0.502127659574468	0.502127659574468	0.502127659574468	0	0.502127659574468	0.502127659574468	0.502127659574468	0.502127659574468	0.502127659574468	0.502127659574468	0.502127659574468	0.502127659574468	0.425531914893617	0.502127659574468	0.502127659574468	0.502127659574468	0.497872340425532	0.497872340425532	0.476595744680851	0.502127659574468	0.502127659574468	0.502127659574468	0.502127659574468	0.502127659574468	0.502127659574468	0.502127659574468	0.502127659574468	0.502127659574468	0.502127659574468	0.502127659574468	0.502127659574468	0	0.502127659574468	0.502127659574468	0.502127659574468	0.497872340425532	0.502127659574468	0.502127659574468	0.502127659574468	0.502127659574468	0.502127659574468	0.502127659574468	0.502127659574468	0.502127659574468	0.497872340425532	0.502127659574468	0.502127659574468	0.502127659574468	0.502127659574468	0.502127659574468	0.502127659574468	0.502127659574468	0.502127659574468	0.502127659574468		0.502127659574468	0.502127659574468	0.425531914893617	0.502127659574468	0.502127659574468	0.502127659574468	0.502127659574468	0.502127659574468	0	0.48936170212766	0.502127659574468	0.502127659574468	0.446808510638298	0.502127659574468
Sphaeroforma_arctica_jp610	0.965957446808511	1	1	1	1	1	1	1	1	0.821276595744681	1	0	1	1	0.961702127659574	1	1	0.927659574468085	1	1	0.719148936170213	1	1	1	0.987234042553191	0.995744680851064	0.957446808510638	1	0.961702127659574	1	1	0.995744680851064	1	1	1	1	0.991489361702128	1	1	0	1	1	1	0.765957446808511	1	1	1	1	1	1	1	1	0.995744680851064	1	1	1	1	1	1	1	1	1	0.502127659574468		0.825531914893617	0.719148936170213	1	0.914893617021277	1	1	1	0	0.88936170212766	1	1	0.868085106382979	1
Sphaeromyxa_zaharoni	0.821276595744681	0.825531914893617	0.825531914893617	0.825531914893617	0.825531914893617	0.825531914893617	0.825531914893617	0.825531914893617	0.825531914893617	0.821276595744681	0.825531914893617	0	0.825531914893617	0.825531914893617	0.825531914893617	0.825531914893617	0.825531914893617	0.753191489361702	0.825531914893617	0.825531914893617	0.719148936170213	0.825531914893617	0.825531914893617	0.825531914893617	0.817021276595745	0.821276595744681	0.782978723404255	0.825531914893617	0.787234042553192	0.825531914893617	0.825531914893617	0.825531914893617	0.825531914893617	0.825531914893617	0.825531914893617	0.825531914893617	0.825531914893617	0.825531914893617	0.825531914893617	0	0.825531914893617	0.825531914893617	0.825531914893617	0.765957446808511	0.825531914893617	0.825531914893617	0.825531914893617	0.825531914893617	0.825531914893617	0.825531914893617	0.825531914893617	0.825531914893617	0.821276595744681	0.825531914893617	0.825531914893617	0.825531914893617	0.825531914893617	0.825531914893617	0.825531914893617	0.825531914893617	0.825531914893617	0.825531914893617	0.502127659574468	0.825531914893617		0.719148936170213	0.825531914893617	0.825531914893617	0.825531914893617	0.825531914893617	0.825531914893617	0	0.804255319148936	0.825531914893617	0.825531914893617	0.693617021276596	0.825531914893617
Stephanoeca_diplocostata	0.714893617021277	0.719148936170213	0.719148936170213	0.719148936170213	0.719148936170213	0.719148936170213	0.719148936170213	0.719148936170213	0.719148936170213	0.719148936170213	0.719148936170213	0	0.719148936170213	0.719148936170213	0.719148936170213	0.719148936170213	0.719148936170213	0.646808510638298	0.719148936170213	0.719148936170213	0.714893617021277	0.719148936170213	0.719148936170213	0.719148936170213	0.714893617021277	0.714893617021277	0.676595744680851	0.719148936170213	0.680851063829787	0.719148936170213	0.719148936170213	0.719148936170213	0.719148936170213	0.719148936170213	0.719148936170213	0.719148936170213	0.719148936170213	0.719148936170213	0.719148936170213	0	0.719148936170213	0.719148936170213	0.719148936170213	0.676595744680851	0.719148936170213	0.719148936170213	0.719148936170213	0.719148936170213	0.719148936170213	0.719148936170213	0.719148936170213	0.719148936170213	0.719148936170213	0.719148936170213	0.719148936170213	0.719148936170213	0.719148936170213	0.719148936170213	0.719148936170213	0.719148936170213	0.719148936170213	0.719148936170213	0.425531914893617	0.719148936170213	0.719148936170213		0.719148936170213	0.719148936170213	0.719148936170213	0.719148936170213	0.719148936170213	0	0.697872340425532	0.719148936170213	0.719148936170213	0.587234042553191	0.719148936170213
Stomolophus_meleagris	0.965957446808511	1	1	1	1	1	1	1	1	0.821276595744681	1	0	1	1	0.961702127659574	1	1	0.927659574468085	1	1	0.719148936170213	1	1	1	0.987234042553191	0.995744680851064	0.957446808510638	1	0.961702127659574	1	1	0.995744680851064	1	1	1	1	0.991489361702128	1	1	0	1	1	1	0.765957446808511	1	1	1	1	1	1	1	1	0.995744680851064	1	1	1	1	1	1	1	1	1	0.502127659574468	1	0.825531914893617	0.719148936170213		0.914893617021277	1	1	1	0	0.88936170212766	1	1	0.868085106382979	1
Strigamia_maritima	0.91063829787234	0.914893617021277	0.914893617021277	0.914893617021277	0.914893617021277	0.914893617021277	0.914893617021277	0.914893617021277	0.914893617021277	0.821276595744681	0.914893617021277	0	0.914893617021277	0.914893617021277	0.914893617021277	0.914893617021277	0.914893617021277	0.842553191489362	0.914893617021277	0.914893617021277	0.719148936170213	0.914893617021277	0.914893617021277	0.914893617021277	0.906382978723404	0.91063829787234	0.872340425531915	0.914893617021277	0.876595744680851	0.914893617021277	0.914893617021277	0.914893617021277	0.914893617021277	0.914893617021277	0.914893617021277	0.914893617021277	0.906382978723404	0.914893617021277	0.914893617021277	0	0.914893617021277	0.914893617021277	0.914893617021277	0.765957446808511	0.914893617021277	0.914893617021277	0.914893617021277	0.914893617021277	0.914893617021277	0.914893617021277	0.914893617021277	0.914893617021277	0.91063829787234	0.914893617021277	0.914893617021277	0.914893617021277	0.914893617021277	0.914893617021277	0.914893617021277	0.914893617021277	0.914893617021277	0.914893617021277	0.502127659574468	0.914893617021277	0.825531914893617	0.719148936170213	0.914893617021277		0.914893617021277	0.914893617021277	0.914893617021277	0	0.804255319148936	0.914893617021277	0.914893617021277	0.782978723404255	0.914893617021277
Strongylocentrotus_purpuratus	0.965957446808511	1	1	1	1	1	1	1	1	0.821276595744681	1	0	1	1	0.961702127659574	1	1	0.927659574468085	1	1	0.719148936170213	1	1	1	0.987234042553191	0.995744680851064	0.957446808510638	1	0.961702127659574	1	1	0.995744680851064	1	1	1	1	0.991489361702128	1	1	0	1	1	1	0.765957446808511	1	1	1	1	1	1	1	1	0.995744680851064	1	1	1	1	1	1	1	1	1	0.502127659574468	1	0.825531914893617	0.719148936170213	1	0.914893617021277		1	1	0	0.88936170212766	1	1	0.868085106382979	1
Sycon_ciliatum	0.965957446808511	1	1	1	1	1	1	1	1	0.821276595744681	1	0	1	1	0.961702127659574	1	1	0.927659574468085	1	1	0.719148936170213	1	1	1	0.987234042553191	0.995744680851064	0.957446808510638	1	0.961702127659574	1	1	0.995744680851064	1	1	1	1	0.991489361702128	1	1	0	1	1	1	0.765957446808511	1	1	1	1	1	1	1	1	0.995744680851064	1	1	1	1	1	1	1	1	1	0.502127659574468	1	0.825531914893617	0.719148936170213	1	0.914893617021277	1		1	0	0.88936170212766	1	1	0.868085106382979	1
Sycon_coactum	0.965957446808511	1	1	1	1	1	1	1	1	0.821276595744681	1	0	1	1	0.961702127659574	1	1	0.927659574468085	1	1	0.719148936170213	1	1	1	0.987234042553191	0.995744680851064	0.957446808510638	1	0.961702127659574	1	1	0.995744680851064	1	1	1	1	0.991489361702128	1	1	0	1	1	1	0.765957446808511	1	1	1	1	1	1	1	1	0.995744680851064	1	1	1	1	1	1	1	1	1	0.502127659574468	1	0.825531914893617	0.719148936170213	1	0.914893617021277	1	1		0	0.88936170212766	1	1	0.868085106382979	1
Tetracapsuloides_bryosalmonae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0
Thelohanellus_kitauei	0.85531914893617	0.88936170212766	0.88936170212766	0.88936170212766	0.88936170212766	0.88936170212766	0.88936170212766	0.88936170212766	0.88936170212766	0.8	0.88936170212766	0	0.88936170212766	0.88936170212766	0.851063829787234	0.88936170212766	0.88936170212766	0.817021276595745	0.88936170212766	0.88936170212766	0.697872340425532	0.88936170212766	0.88936170212766	0.88936170212766	0.876595744680851	0.885106382978723	0.846808510638298	0.88936170212766	0.851063829787234	0.88936170212766	0.88936170212766	0.885106382978723	0.88936170212766	0.88936170212766	0.88936170212766	0.88936170212766	0.88936170212766	0.88936170212766	0.88936170212766	0	0.88936170212766	0.88936170212766	0.88936170212766	0.753191489361702	0.88936170212766	0.88936170212766	0.88936170212766	0.88936170212766	0.88936170212766	0.88936170212766	0.88936170212766	0.88936170212766	0.885106382978723	0.88936170212766	0.88936170212766	0.88936170212766	0.88936170212766	0.88936170212766	0.88936170212766	0.88936170212766	0.88936170212766	0.88936170212766	0.48936170212766	0.88936170212766	0.804255319148936	0.697872340425532	0.88936170212766	0.804255319148936	0.88936170212766	0.88936170212766	0.88936170212766	0		0.88936170212766	0.88936170212766	0.757446808510638	0.88936170212766
Trichoplax_adhaerens	0.965957446808511	1	1	1	1	1	1	1	1	0.821276595744681	1	0	1	1	0.961702127659574	1	1	0.927659574468085	1	1	0.719148936170213	1	1	1	0.987234042553191	0.995744680851064	0.957446808510638	1	0.961702127659574	1	1	0.995744680851064	1	1	1	1	0.991489361702128	1	1	0	1	1	1	0.765957446808511	1	1	1	1	1	1	1	1	0.995744680851064	1	1	1	1	1	1	1	1	1	0.502127659574468	1	0.825531914893617	0.719148936170213	1	0.914893617021277	1	1	1	0	0.88936170212766		1	0.868085106382979	1
Tripedalia_cystophora	0.965957446808511	1	1	1	1	1	1	1	1	0.821276595744681	1	0	1	1	0.961702127659574	1	1	0.927659574468085	1	1	0.719148936170213	1	1	1	0.987234042553191	0.995744680851064	0.957446808510638	1	0.961702127659574	1	1	0.995744680851064	1	1	1	1	0.991489361702128	1	1	0	1	1	1	0.765957446808511	1	1	1	1	1	1	1	1	0.995744680851064	1	1	1	1	1	1	1	1	1	0.502127659574468	1	0.825531914893617	0.719148936170213	1	0.914893617021277	1	1	1	0	0.88936170212766	1		0.868085106382979	1
Urticina_eques	0.834042553191489	0.868085106382979	0.868085106382979	0.868085106382979	0.868085106382979	0.868085106382979	0.868085106382979	0.868085106382979	0.868085106382979	0.68936170212766	0.868085106382979	0	0.868085106382979	0.868085106382979	0.829787234042553	0.868085106382979	0.868085106382979	0.795744680851064	0.868085106382979	0.868085106382979	0.587234042553191	0.868085106382979	0.868085106382979	0.868085106382979	0.859574468085106	0.863829787234043	0.825531914893617	0.868085106382979	0.829787234042553	0.868085106382979	0.868085106382979	0.863829787234043	0.868085106382979	0.868085106382979	0.868085106382979	0.868085106382979	0.859574468085106	0.868085106382979	0.868085106382979	0	0.868085106382979	0.868085106382979	0.868085106382979	0.634042553191489	0.868085106382979	0.868085106382979	0.868085106382979	0.868085106382979	0.868085106382979	0.868085106382979	0.868085106382979	0.868085106382979	0.863829787234043	0.868085106382979	0.868085106382979	0.868085106382979	0.868085106382979	0.868085106382979	0.868085106382979	0.868085106382979	0.868085106382979	0.868085106382979	0.446808510638298	0.868085106382979	0.693617021276596	0.587234042553191	0.868085106382979	0.782978723404255	0.868085106382979	0.868085106382979	0.868085106382979	0	0.757446808510638	0.868085106382979	0.868085106382979		0.868085106382979
Vallicula_multiformis	0.965957446808511	1	1	1	1	1	1	1	1	0.821276595744681	1	0	1	1	0.961702127659574	1	1	0.927659574468085	1	1	0.719148936170213	1	1	1	0.987234042553191	0.995744680851064	0.957446808510638	1	0.961702127659574	1	1	0.995744680851064	1	1	1	1	0.991489361702128	1	1	0	1	1	1	0.765957446808511	1	1	1	1	1	1	1	1	0.995744680851064	1	1	1	1	1	1	1	1	1	0.502127659574468	1	0.825531914893617	0.719148936170213	1	0.914893617021277	1	1	1	0	0.88936170212766	1	1	0.868085106382979	
