	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Branchiostoma_floridae	1	1	1	1	0.584269662921348	0.971910112359551	1	1	0.662921348314607	0		1	1	1	0.146067415730337	1	1	0.921348314606742	1	1	0	1	1	0.612359550561798	0.98876404494382	0.910112359550562	1	0.971910112359551	1	1	0.99438202247191	1	0.938202247191011	1	1	0.99438202247191	1	1	1	0	0.99438202247191	1	1	0	1	1	1	1	1	1	0.99438202247191	1	1	1	0.943820224719101	1	1	1	1	1	1	1	0.820224719101124	1	0.882022471910112	0.99438202247191	1	0.99438202247191	1	1	1	0	1	1	1	0	1
Buddenbrockia_plumatellae	1	1	1	1	0.584269662921348	0.971910112359551	1	1	0.662921348314607	0	1		1	1	0.146067415730337	1	1	0.921348314606742	1	1	0	1	1	0.612359550561798	0.98876404494382	0.910112359550562	1	0.971910112359551	1	1	0.99438202247191	1	0.938202247191011	1	1	0.99438202247191	1	1	1	0	0.99438202247191	1	1	0	1	1	1	1	1	1	0.99438202247191	1	1	1	0.943820224719101	1	1	1	1	1	1	1	0.820224719101124	1	0.882022471910112	0.99438202247191	1	0.99438202247191	1	1	1	0	1	1	1	0	1
Capitella_teleta	1	1	1	1	0.584269662921348	0.971910112359551	1	1	0.662921348314607	0	1	1		1	0.146067415730337	1	1	0.921348314606742	1	1	0	1	1	0.612359550561798	0.98876404494382	0.910112359550562	1	0.971910112359551	1	1	0.99438202247191	1	0.938202247191011	1	1	0.99438202247191	1	1	1	0	0.99438202247191	1	1	0	1	1	1	1	1	1	0.99438202247191	1	1	1	0.943820224719101	1	1	1	1	1	1	1	0.820224719101124	1	0.882022471910112	0.99438202247191	1	0.99438202247191	1	1	1	0	1	1	1	0	1
Capsaspora_owczarzaki_atcc30864	1	1	1	1	0.584269662921348	0.971910112359551	1	1	0.662921348314607	0	1	1	1		0.146067415730337	1	1	0.921348314606742	1	1	0	1	1	0.612359550561798	0.98876404494382	0.910112359550562	1	0.971910112359551	1	1	0.99438202247191	1	0.938202247191011	1	1	0.99438202247191	1	1	1	0	0.99438202247191	1	1	0	1	1	1	1	1	1	0.99438202247191	1	1	1	0.943820224719101	1	1	1	1	1	1	1	0.820224719101124	1	0.882022471910112	0.99438202247191	1	0.99438202247191	1	1	1	0	1	1	1	0	1
Chondrilla_nucula	0.146067415730337	0.146067415730337	0.146067415730337	0.146067415730337	0.146067415730337	0.146067415730337	0.146067415730337	0.146067415730337	0	0	0.146067415730337	0.146067415730337	0.146067415730337	0.146067415730337		0.146067415730337	0.146067415730337	0.146067415730337	0.146067415730337	0.146067415730337	0	0.146067415730337	0.146067415730337	0.146067415730337	0.146067415730337	0.146067415730337	0.146067415730337	0.146067415730337	0.146067415730337	0.146067415730337	0.146067415730337	0.146067415730337	0.146067415730337	0.146067415730337	0.146067415730337	0.146067415730337	0.146067415730337	0.146067415730337	0.146067415730337	0	0.146067415730337	0.146067415730337	0.146067415730337	0	0.146067415730337	0.146067415730337	0.146067415730337	0.146067415730337	0.146067415730337	0.146067415730337	0.146067415730337	0.146067415730337	0.146067415730337	0.146067415730337	0.146067415730337	0.146067415730337	0.146067415730337	0.146067415730337	0.146067415730337	0.146067415730337	0.146067415730337	0.146067415730337	0.146067415730337	0.146067415730337	0.146067415730337	0.146067415730337	0.146067415730337	0.146067415730337	0.146067415730337	0.146067415730337	0.146067415730337	0	0.146067415730337	0.146067415730337	0.146067415730337	0	0.146067415730337
Ciona_intestinalis	1	1	1	1	0.584269662921348	0.971910112359551	1	1	0.662921348314607	0	1	1	1	1	0.146067415730337		1	0.921348314606742	1	1	0	1	1	0.612359550561798	0.98876404494382	0.910112359550562	1	0.971910112359551	1	1	0.99438202247191	1	0.938202247191011	1	1	0.99438202247191	1	1	1	0	0.99438202247191	1	1	0	1	1	1	1	1	1	0.99438202247191	1	1	1	0.943820224719101	1	1	1	1	1	1	1	0.820224719101124	1	0.882022471910112	0.99438202247191	1	0.99438202247191	1	1	1	0	1	1	1	0	1
Clytia_hemisphaerica	1	1	1	1	0.584269662921348	0.971910112359551	1	1	0.662921348314607	0	1	1	1	1	0.146067415730337	1		0.921348314606742	1	1	0	1	1	0.612359550561798	0.98876404494382	0.910112359550562	1	0.971910112359551	1	1	0.99438202247191	1	0.938202247191011	1	1	0.99438202247191	1	1	1	0	0.99438202247191	1	1	0	1	1	1	1	1	1	0.99438202247191	1	1	1	0.943820224719101	1	1	1	1	1	1	1	0.820224719101124	1	0.882022471910112	0.99438202247191	1	0.99438202247191	1	1	1	0	1	1	1	0	1
Corticium_candelabrum	0.921348314606742	0.921348314606742	0.921348314606742	0.921348314606742	0.50561797752809	0.893258426966292	0.921348314606742	0.921348314606742	0.584269662921348	0	0.921348314606742	0.921348314606742	0.921348314606742	0.921348314606742	0.146067415730337	0.921348314606742	0.921348314606742		0.921348314606742	0.921348314606742	0	0.921348314606742	0.921348314606742	0.533707865168539	0.910112359550562	0.831460674157303	0.921348314606742	0.893258426966292	0.921348314606742	0.921348314606742	0.915730337078652	0.921348314606742	0.859550561797753	0.921348314606742	0.921348314606742	0.915730337078652	0.921348314606742	0.921348314606742	0.921348314606742	0	0.915730337078652	0.921348314606742	0.921348314606742	0	0.921348314606742	0.921348314606742	0.921348314606742	0.921348314606742	0.921348314606742	0.921348314606742	0.915730337078652	0.921348314606742	0.921348314606742	0.921348314606742	0.865168539325843	0.921348314606742	0.921348314606742	0.921348314606742	0.921348314606742	0.921348314606742	0.921348314606742	0.921348314606742	0.820224719101124	0.921348314606742	0.803370786516854	0.915730337078652	0.921348314606742	0.915730337078652	0.921348314606742	0.921348314606742	0.921348314606742	0	0.921348314606742	0.921348314606742	0.921348314606742	0	0.921348314606742
Craspedacusta_sowerbyi	1	1	1	1	0.584269662921348	0.971910112359551	1	1	0.662921348314607	0	1	1	1	1	0.146067415730337	1	1	0.921348314606742		1	0	1	1	0.612359550561798	0.98876404494382	0.910112359550562	1	0.971910112359551	1	1	0.99438202247191	1	0.938202247191011	1	1	0.99438202247191	1	1	1	0	0.99438202247191	1	1	0	1	1	1	1	1	1	0.99438202247191	1	1	1	0.943820224719101	1	1	1	1	1	1	1	0.820224719101124	1	0.882022471910112	0.99438202247191	1	0.99438202247191	1	1	1	0	1	1	1	0	1
Crassostrea_gigas	1	1	1	1	0.584269662921348	0.971910112359551	1	1	0.662921348314607	0	1	1	1	1	0.146067415730337	1	1	0.921348314606742	1		0	1	1	0.612359550561798	0.98876404494382	0.910112359550562	1	0.971910112359551	1	1	0.99438202247191	1	0.938202247191011	1	1	0.99438202247191	1	1	1	0	0.99438202247191	1	1	0	1	1	1	1	1	1	0.99438202247191	1	1	1	0.943820224719101	1	1	1	1	1	1	1	0.820224719101124	1	0.882022471910112	0.99438202247191	1	0.99438202247191	1	1	1	0	1	1	1	0	1
