	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Acanthoeca_like_sp_10tr		0.852272727272727	1	1	1	1	0.613636363636364	1	0.568181818181818	0	1	0	1	1	0.744318181818182	1	1	1	1	1	0	1	1	1	0.534090909090909	1	1	0.880681818181818	0.863636363636364	1	1	1	1	1	1	0.965909090909091	1	1	1	0.994318181818182	0.676136363636364	1	1	0.761363636363636	1	0.988636363636364	1	1	1	1	1	0.994318181818182	1	1	1	1	1	0.795454545454545	1	1	1	1	0.994318181818182	1	0.431818181818182	1	1	1	1	1	1	0	0	1	0.551136363636364	0.494318181818182	1
Acropora_cervicornis	0.852272727272727		0.852272727272727	0.852272727272727	0.852272727272727	0.852272727272727	0.613636363636364	0.852272727272727	0.511363636363636	0	0.852272727272727	0	0.852272727272727	0.852272727272727	0.744318181818182	0.852272727272727	0.852272727272727	0.852272727272727	0.852272727272727	0.852272727272727	0	0.852272727272727	0.852272727272727	0.852272727272727	0.534090909090909	0.852272727272727	0.852272727272727	0.852272727272727	0.715909090909091	0.852272727272727	0.852272727272727	0.852272727272727	0.852272727272727	0.852272727272727	0.852272727272727	0.818181818181818	0.852272727272727	0.852272727272727	0.852272727272727	0.852272727272727	0.528409090909091	0.852272727272727	0.852272727272727	0.761363636363636	0.852272727272727	0.840909090909091	0.852272727272727	0.852272727272727	0.852272727272727	0.852272727272727	0.852272727272727	0.846590909090909	0.852272727272727	0.852272727272727	0.852272727272727	0.852272727272727	0.852272727272727	0.647727272727273	0.852272727272727	0.852272727272727	0.852272727272727	0.852272727272727	0.852272727272727	0.852272727272727	0.284090909090909	0.852272727272727	0.852272727272727	0.852272727272727	0.852272727272727	0.852272727272727	0.852272727272727	0	0	0.852272727272727	0.431818181818182	0.346590909090909	0.852272727272727
Aiptasia_pallida	1	0.852272727272727		1	1	1	0.613636363636364	1	0.568181818181818	0	1	0	1	1	0.744318181818182	1	1	1	1	1	0	1	1	1	0.534090909090909	1	1	0.880681818181818	0.863636363636364	1	1	1	1	1	1	0.965909090909091	1	1	1	0.994318181818182	0.676136363636364	1	1	0.761363636363636	1	0.988636363636364	1	1	1	1	1	0.994318181818182	1	1	1	1	1	0.795454545454545	1	1	1	1	0.994318181818182	1	0.431818181818182	1	1	1	1	1	1	0	0	1	0.551136363636364	0.494318181818182	1
Amoebidium	1	0.852272727272727	1		1	1	0.613636363636364	1	0.568181818181818	0	1	0	1	1	0.744318181818182	1	1	1	1	1	0	1	1	1	0.534090909090909	1	1	0.880681818181818	0.863636363636364	1	1	1	1	1	1	0.965909090909091	1	1	1	0.994318181818182	0.676136363636364	1	1	0.761363636363636	1	0.988636363636364	1	1	1	1	1	0.994318181818182	1	1	1	1	1	0.795454545454545	1	1	1	1	0.994318181818182	1	0.431818181818182	1	1	1	1	1	1	0	0	1	0.551136363636364	0.494318181818182	1
Amphimedon_queenslandica	1	0.852272727272727	1	1		1	0.613636363636364	1	0.568181818181818	0	1	0	1	1	0.744318181818182	1	1	1	1	1	0	1	1	1	0.534090909090909	1	1	0.880681818181818	0.863636363636364	1	1	1	1	1	1	0.965909090909091	1	1	1	0.994318181818182	0.676136363636364	1	1	0.761363636363636	1	0.988636363636364	1	1	1	1	1	0.994318181818182	1	1	1	1	1	0.795454545454545	1	1	1	1	0.994318181818182	1	0.431818181818182	1	1	1	1	1	1	0	0	1	0.551136363636364	0.494318181818182	1
Aphrocallistes_vastus	1	0.852272727272727	1	1	1		0.613636363636364	1	0.568181818181818	0	1	0	1	1	0.744318181818182	1	1	1	1	1	0	1	1	1	0.534090909090909	1	1	0.880681818181818	0.863636363636364	1	1	1	1	1	1	0.965909090909091	1	1	1	0.994318181818182	0.676136363636364	1	1	0.761363636363636	1	0.988636363636364	1	1	1	1	1	0.994318181818182	1	1	1	1	1	0.795454545454545	1	1	1	1	0.994318181818182	1	0.431818181818182	1	1	1	1	1	1	0	0	1	0.551136363636364	0.494318181818182	1
Aurelia_aurita	0.613636363636364	0.613636363636364	0.613636363636364	0.613636363636364	0.613636363636364	0.613636363636364		0.613636363636364	0.369318181818182	0	0.613636363636364	0	0.613636363636364	0.613636363636364	0.613636363636364	0.613636363636364	0.613636363636364	0.613636363636364	0.613636363636364	0.613636363636364	0	0.613636363636364	0.613636363636364	0.613636363636364	0.482954545454545	0.613636363636364	0.613636363636364	0.613636363636364	0.573863636363636	0.613636363636364	0.613636363636364	0.613636363636364	0.613636363636364	0.613636363636364	0.613636363636364	0.590909090909091	0.613636363636364	0.613636363636364	0.613636363636364	0.613636363636364	0.386363636363636	0.613636363636364	0.613636363636364	0.613636363636364	0.613636363636364	0.613636363636364	0.613636363636364	0.613636363636364	0.613636363636364	0.613636363636364	0.613636363636364	0.613636363636364	0.613636363636364	0.613636363636364	0.613636363636364	0.613636363636364	0.613636363636364	0.505681818181818	0.613636363636364	0.613636363636364	0.613636363636364	0.613636363636364	0.613636363636364	0.613636363636364	0.142045454545455	0.613636363636364	0.613636363636364	0.613636363636364	0.613636363636364	0.613636363636364	0.613636363636364	0	0	0.613636363636364	0.340909090909091	0.261363636363636	0.613636363636364
Beroe_abyssicola	1	0.852272727272727	1	1	1	1	0.613636363636364		0.568181818181818	0	1	0	1	1	0.744318181818182	1	1	1	1	1	0	1	1	1	0.534090909090909	1	1	0.880681818181818	0.863636363636364	1	1	1	1	1	1	0.965909090909091	1	1	1	0.994318181818182	0.676136363636364	1	1	0.761363636363636	1	0.988636363636364	1	1	1	1	1	0.994318181818182	1	1	1	1	1	0.795454545454545	1	1	1	1	0.994318181818182	1	0.431818181818182	1	1	1	1	1	1	0	0	1	0.551136363636364	0.494318181818182	1
Bolocera_tuediae	0.568181818181818	0.511363636363636	0.568181818181818	0.568181818181818	0.568181818181818	0.568181818181818	0.369318181818182	0.568181818181818		0	0.568181818181818	0	0.568181818181818	0.568181818181818	0.403409090909091	0.568181818181818	0.568181818181818	0.568181818181818	0.568181818181818	0.568181818181818	0	0.568181818181818	0.568181818181818	0.568181818181818	0.420454545454545	0.568181818181818	0.568181818181818	0.539772727272727	0.568181818181818	0.568181818181818	0.568181818181818	0.568181818181818	0.568181818181818	0.568181818181818	0.568181818181818	0.534090909090909	0.568181818181818	0.568181818181818	0.568181818181818	0.568181818181818	0.5625	0.568181818181818	0.568181818181818	0.420454545454545	0.568181818181818	0.568181818181818	0.568181818181818	0.568181818181818	0.568181818181818	0.568181818181818	0.568181818181818	0.568181818181818	0.568181818181818	0.568181818181818	0.568181818181818	0.568181818181818	0.568181818181818	0.568181818181818	0.568181818181818	0.568181818181818	0.568181818181818	0.568181818181818	0.568181818181818	0.568181818181818	0.340909090909091	0.568181818181818	0.568181818181818	0.568181818181818	0.568181818181818	0.568181818181818	0.568181818181818	0	0	0.568181818181818	0.482954545454545	0.164772727272727	0.568181818181818
Botryllus_schlosseri	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Branchiostoma_floridae	1	0.852272727272727	1	1	1	1	0.613636363636364	1	0.568181818181818	0		0	1	1	0.744318181818182	1	1	1	1	1	0	1	1	1	0.534090909090909	1	1	0.880681818181818	0.863636363636364	1	1	1	1	1	1	0.965909090909091	1	1	1	0.994318181818182	0.676136363636364	1	1	0.761363636363636	1	0.988636363636364	1	1	1	1	1	0.994318181818182	1	1	1	1	1	0.795454545454545	1	1	1	1	0.994318181818182	1	0.431818181818182	1	1	1	1	1	1	0	0	1	0.551136363636364	0.494318181818182	1
Buddenbrockia_plumatellae	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Capitella_teleta	1	0.852272727272727	1	1	1	1	0.613636363636364	1	0.568181818181818	0	1	0		1	0.744318181818182	1	1	1	1	1	0	1	1	1	0.534090909090909	1	1	0.880681818181818	0.863636363636364	1	1	1	1	1	1	0.965909090909091	1	1	1	0.994318181818182	0.676136363636364	1	1	0.761363636363636	1	0.988636363636364	1	1	1	1	1	0.994318181818182	1	1	1	1	1	0.795454545454545	1	1	1	1	0.994318181818182	1	0.431818181818182	1	1	1	1	1	1	0	0	1	0.551136363636364	0.494318181818182	1
Capsaspora_owczarzaki_atcc30864	1	0.852272727272727	1	1	1	1	0.613636363636364	1	0.568181818181818	0	1	0	1		0.744318181818182	1	1	1	1	1	0	1	1	1	0.534090909090909	1	1	0.880681818181818	0.863636363636364	1	1	1	1	1	1	0.965909090909091	1	1	1	0.994318181818182	0.676136363636364	1	1	0.761363636363636	1	0.988636363636364	1	1	1	1	1	0.994318181818182	1	1	1	1	1	0.795454545454545	1	1	1	1	0.994318181818182	1	0.431818181818182	1	1	1	1	1	1	0	0	1	0.551136363636364	0.494318181818182	1
Chondrilla_nucula	0.744318181818182	0.744318181818182	0.744318181818182	0.744318181818182	0.744318181818182	0.744318181818182	0.613636363636364	0.744318181818182	0.403409090909091	0	0.744318181818182	0	0.744318181818182	0.744318181818182		0.744318181818182	0.744318181818182	0.744318181818182	0.744318181818182	0.744318181818182	0	0.744318181818182	0.744318181818182	0.744318181818182	0.517045454545455	0.744318181818182	0.744318181818182	0.744318181818182	0.607954545454545	0.744318181818182	0.744318181818182	0.744318181818182	0.744318181818182	0.744318181818182	0.744318181818182	0.710227272727273	0.744318181818182	0.744318181818182	0.744318181818182	0.744318181818182	0.420454545454545	0.744318181818182	0.744318181818182	0.744318181818182	0.744318181818182	0.732954545454545	0.744318181818182	0.744318181818182	0.744318181818182	0.744318181818182	0.744318181818182	0.738636363636364	0.744318181818182	0.744318181818182	0.744318181818182	0.744318181818182	0.744318181818182	0.539772727272727	0.744318181818182	0.744318181818182	0.744318181818182	0.744318181818182	0.744318181818182	0.744318181818182	0.176136363636364	0.744318181818182	0.744318181818182	0.744318181818182	0.744318181818182	0.744318181818182	0.744318181818182	0	0	0.744318181818182	0.375	0.261363636363636	0.744318181818182
Ciona_intestinalis	1	0.852272727272727	1	1	1	1	0.613636363636364	1	0.568181818181818	0	1	0	1	1	0.744318181818182		1	1	1	1	0	1	1	1	0.534090909090909	1	1	0.880681818181818	0.863636363636364	1	1	1	1	1	1	0.965909090909091	1	1	1	0.994318181818182	0.676136363636364	1	1	0.761363636363636	1	0.988636363636364	1	1	1	1	1	0.994318181818182	1	1	1	1	1	0.795454545454545	1	1	1	1	0.994318181818182	1	0.431818181818182	1	1	1	1	1	1	0	0	1	0.551136363636364	0.494318181818182	1
Clytia_hemisphaerica	1	0.852272727272727	1	1	1	1	0.613636363636364	1	0.568181818181818	0	1	0	1	1	0.744318181818182	1		1	1	1	0	1	1	1	0.534090909090909	1	1	0.880681818181818	0.863636363636364	1	1	1	1	1	1	0.965909090909091	1	1	1	0.994318181818182	0.676136363636364	1	1	0.761363636363636	1	0.988636363636364	1	1	1	1	1	0.994318181818182	1	1	1	1	1	0.795454545454545	1	1	1	1	0.994318181818182	1	0.431818181818182	1	1	1	1	1	1	0	0	1	0.551136363636364	0.494318181818182	1
Corticium_candelabrum	1	0.852272727272727	1	1	1	1	0.613636363636364	1	0.568181818181818	0	1	0	1	1	0.744318181818182	1	1		1	1	0	1	1	1	0.534090909090909	1	1	0.880681818181818	0.863636363636364	1	1	1	1	1	1	0.965909090909091	1	1	1	0.994318181818182	0.676136363636364	1	1	0.761363636363636	1	0.988636363636364	1	1	1	1	1	0.994318181818182	1	1	1	1	1	0.795454545454545	1	1	1	1	0.994318181818182	1	0.431818181818182	1	1	1	1	1	1	0	0	1	0.551136363636364	0.494318181818182	1
Craspedacusta_sowerbyi	1	0.852272727272727	1	1	1	1	0.613636363636364	1	0.568181818181818	0	1	0	1	1	0.744318181818182	1	1	1		1	0	1	1	1	0.534090909090909	1	1	0.880681818181818	0.863636363636364	1	1	1	1	1	1	0.965909090909091	1	1	1	0.994318181818182	0.676136363636364	1	1	0.761363636363636	1	0.988636363636364	1	1	1	1	1	0.994318181818182	1	1	1	1	1	0.795454545454545	1	1	1	1	0.994318181818182	1	0.431818181818182	1	1	1	1	1	1	0	0	1	0.551136363636364	0.494318181818182	1
Crassostrea_gigas	1	0.852272727272727	1	1	1	1	0.613636363636364	1	0.568181818181818	0	1	0	1	1	0.744318181818182	1	1	1	1		0	1	1	1	0.534090909090909	1	1	0.880681818181818	0.863636363636364	1	1	1	1	1	1	0.965909090909091	1	1	1	0.994318181818182	0.676136363636364	1	1	0.761363636363636	1	0.988636363636364	1	1	1	1	1	0.994318181818182	1	1	1	1	1	0.795454545454545	1	1	1	1	0.994318181818182	1	0.431818181818182	1	1	1	1	1	1	0	0	1	0.551136363636364	0.494318181818182	1
Cyanea_capillata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Daphnia_pulex	1	0.852272727272727	1	1	1	1	0.613636363636364	1	0.568181818181818	0	1	0	1	1	0.744318181818182	1	1	1	1	1	0		1	1	0.534090909090909	1	1	0.880681818181818	0.863636363636364	1	1	1	1	1	1	0.965909090909091	1	1	1	0.994318181818182	0.676136363636364	1	1	0.761363636363636	1	0.988636363636364	1	1	1	1	1	0.994318181818182	1	1	1	1	1	0.795454545454545	1	1	1	1	0.994318181818182	1	0.431818181818182	1	1	1	1	1	1	0	0	1	0.551136363636364	0.494318181818182	1
Ectopleura_larynx	1	0.852272727272727	1	1	1	1	0.613636363636364	1	0.568181818181818	0	1	0	1	1	0.744318181818182	1	1	1	1	1	0	1		1	0.534090909090909	1	1	0.880681818181818	0.863636363636364	1	1	1	1	1	1	0.965909090909091	1	1	1	0.994318181818182	0.676136363636364	1	1	0.761363636363636	1	0.988636363636364	1	1	1	1	1	0.994318181818182	1	1	1	1	1	0.795454545454545	1	1	1	1	0.994318181818182	1	0.431818181818182	1	1	1	1	1	1	0	0	1	0.551136363636364	0.494318181818182	1
Edwardsiella_lineata	1	0.852272727272727	1	1	1	1	0.613636363636364	1	0.568181818181818	0	1	0	1	1	0.744318181818182	1	1	1	1	1	0	1	1		0.534090909090909	1	1	0.880681818181818	0.863636363636364	1	1	1	1	1	1	0.965909090909091	1	1	1	0.994318181818182	0.676136363636364	1	1	0.761363636363636	1	0.988636363636364	1	1	1	1	1	0.994318181818182	1	1	1	1	1	0.795454545454545	1	1	1	1	0.994318181818182	1	0.431818181818182	1	1	1	1	1	1	0	0	1	0.551136363636364	0.494318181818182	1
Enteromyxum_leei	0.534090909090909	0.534090909090909	0.534090909090909	0.534090909090909	0.534090909090909	0.534090909090909	0.482954545454545	0.534090909090909	0.420454545454545	0	0.534090909090909	0	0.534090909090909	0.534090909090909	0.517045454545455	0.534090909090909	0.534090909090909	0.534090909090909	0.534090909090909	0.534090909090909	0	0.534090909090909	0.534090909090909	0.534090909090909		0.534090909090909	0.534090909090909	0.534090909090909	0.534090909090909	0.534090909090909	0.534090909090909	0.534090909090909	0.534090909090909	0.534090909090909	0.534090909090909	0.5	0.534090909090909	0.534090909090909	0.534090909090909	0.534090909090909	0.4375	0.534090909090909	0.534090909090909	0.534090909090909	0.534090909090909	0.534090909090909	0.534090909090909	0.534090909090909	0.534090909090909	0.534090909090909	0.534090909090909	0.534090909090909	0.534090909090909	0.534090909090909	0.534090909090909	0.534090909090909	0.534090909090909	0.534090909090909	0.534090909090909	0.534090909090909	0.534090909090909	0.534090909090909	0.534090909090909	0.534090909090909	0.193181818181818	0.534090909090909	0.534090909090909	0.534090909090909	0.534090909090909	0.534090909090909	0.534090909090909	0	0	0.534090909090909	0.392045454545455	0.136363636363636	0.534090909090909
Ephydatia_muelleri	1	0.852272727272727	1	1	1	1	0.613636363636364	1	0.568181818181818	0	1	0	1	1	0.744318181818182	1	1	1	1	1	0	1	1	1	0.534090909090909		1	0.880681818181818	0.863636363636364	1	1	1	1	1	1	0.965909090909091	1	1	1	0.994318181818182	0.676136363636364	1	1	0.761363636363636	1	0.988636363636364	1	1	1	1	1	0.994318181818182	1	1	1	1	1	0.795454545454545	1	1	1	1	0.994318181818182	1	0.431818181818182	1	1	1	1	1	1	0	0	1	0.551136363636364	0.494318181818182	1
Eunicella_cavolinii	1	0.852272727272727	1	1	1	1	0.613636363636364	1	0.568181818181818	0	1	0	1	1	0.744318181818182	1	1	1	1	1	0	1	1	1	0.534090909090909	1		0.880681818181818	0.863636363636364	1	1	1	1	1	1	0.965909090909091	1	1	1	0.994318181818182	0.676136363636364	1	1	0.761363636363636	1	0.988636363636364	1	1	1	1	1	0.994318181818182	1	1	1	1	1	0.795454545454545	1	1	1	1	0.994318181818182	1	0.431818181818182	1	1	1	1	1	1	0	0	1	0.551136363636364	0.494318181818182	1
Euplectella_aspergillum	0.880681818181818	0.852272727272727	0.880681818181818	0.880681818181818	0.880681818181818	0.880681818181818	0.613636363636364	0.880681818181818	0.539772727272727	0	0.880681818181818	0	0.880681818181818	0.880681818181818	0.744318181818182	0.880681818181818	0.880681818181818	0.880681818181818	0.880681818181818	0.880681818181818	0	0.880681818181818	0.880681818181818	0.880681818181818	0.534090909090909	0.880681818181818	0.880681818181818		0.744318181818182	0.880681818181818	0.880681818181818	0.880681818181818	0.880681818181818	0.880681818181818	0.880681818181818	0.846590909090909	0.880681818181818	0.880681818181818	0.880681818181818	0.880681818181818	0.556818181818182	0.880681818181818	0.880681818181818	0.761363636363636	0.880681818181818	0.869318181818182	0.880681818181818	0.880681818181818	0.880681818181818	0.880681818181818	0.880681818181818	0.875	0.880681818181818	0.880681818181818	0.880681818181818	0.880681818181818	0.880681818181818	0.676136363636364	0.880681818181818	0.880681818181818	0.880681818181818	0.880681818181818	0.880681818181818	0.880681818181818	0.3125	0.880681818181818	0.880681818181818	0.880681818181818	0.880681818181818	0.880681818181818	0.880681818181818	0	0	0.880681818181818	0.454545454545455	0.375	0.880681818181818
Euplokamis_dunlapae	0.863636363636364	0.715909090909091	0.863636363636364	0.863636363636364	0.863636363636364	0.863636363636364	0.573863636363636	0.863636363636364	0.568181818181818	0	0.863636363636364	0	0.863636363636364	0.863636363636364	0.607954545454545	0.863636363636364	0.863636363636364	0.863636363636364	0.863636363636364	0.863636363636364	0	0.863636363636364	0.863636363636364	0.863636363636364	0.534090909090909	0.863636363636364	0.863636363636364	0.744318181818182		0.863636363636364	0.863636363636364	0.863636363636364	0.863636363636364	0.863636363636364	0.863636363636364	0.829545454545455	0.863636363636364	0.863636363636364	0.863636363636364	0.857954545454545	0.676136363636364	0.863636363636364	0.863636363636364	0.625	0.863636363636364	0.863636363636364	0.863636363636364	0.863636363636364	0.863636363636364	0.863636363636364	0.863636363636364	0.863636363636364	0.863636363636364	0.863636363636364	0.863636363636364	0.863636363636364	0.863636363636364	0.795454545454545	0.863636363636364	0.863636363636364	0.863636363636364	0.863636363636364	0.857954545454545	0.863636363636364	0.431818181818182	0.863636363636364	0.863636363636364	0.863636363636364	0.863636363636364	0.863636363636364	0.863636363636364	0	0	0.863636363636364	0.551136363636364	0.460227272727273	0.863636363636364
Gorgonia_ventalina	1	0.852272727272727	1	1	1	1	0.613636363636364	1	0.568181818181818	0	1	0	1	1	0.744318181818182	1	1	1	1	1	0	1	1	1	0.534090909090909	1	1	0.880681818181818	0.863636363636364		1	1	1	1	1	0.965909090909091	1	1	1	0.994318181818182	0.676136363636364	1	1	0.761363636363636	1	0.988636363636364	1	1	1	1	1	0.994318181818182	1	1	1	1	1	0.795454545454545	1	1	1	1	0.994318181818182	1	0.431818181818182	1	1	1	1	1	1	0	0	1	0.551136363636364	0.494318181818182	1
Helobdella_robusta	1	0.852272727272727	1	1	1	1	0.613636363636364	1	0.568181818181818	0	1	0	1	1	0.744318181818182	1	1	1	1	1	0	1	1	1	0.534090909090909	1	1	0.880681818181818	0.863636363636364	1		1	1	1	1	0.965909090909091	1	1	1	0.994318181818182	0.676136363636364	1	1	0.761363636363636	1	0.988636363636364	1	1	1	1	1	0.994318181818182	1	1	1	1	1	0.795454545454545	1	1	1	1	0.994318181818182	1	0.431818181818182	1	1	1	1	1	1	0	0	1	0.551136363636364	0.494318181818182	1
Homo_sapiens	1	0.852272727272727	1	1	1	1	0.613636363636364	1	0.568181818181818	0	1	0	1	1	0.744318181818182	1	1	1	1	1	0	1	1	1	0.534090909090909	1	1	0.880681818181818	0.863636363636364	1	1		1	1	1	0.965909090909091	1	1	1	0.994318181818182	0.676136363636364	1	1	0.761363636363636	1	0.988636363636364	1	1	1	1	1	0.994318181818182	1	1	1	1	1	0.795454545454545	1	1	1	1	0.994318181818182	1	0.431818181818182	1	1	1	1	1	1	0	0	1	0.551136363636364	0.494318181818182	1
Hormathia_digitata	1	0.852272727272727	1	1	1	1	0.613636363636364	1	0.568181818181818	0	1	0	1	1	0.744318181818182	1	1	1	1	1	0	1	1	1	0.534090909090909	1	1	0.880681818181818	0.863636363636364	1	1	1		1	1	0.965909090909091	1	1	1	0.994318181818182	0.676136363636364	1	1	0.761363636363636	1	0.988636363636364	1	1	1	1	1	0.994318181818182	1	1	1	1	1	0.795454545454545	1	1	1	1	0.994318181818182	1	0.431818181818182	1	1	1	1	1	1	0	0	1	0.551136363636364	0.494318181818182	1
Hydra_magnipapillata	1	0.852272727272727	1	1	1	1	0.613636363636364	1	0.568181818181818	0	1	0	1	1	0.744318181818182	1	1	1	1	1	0	1	1	1	0.534090909090909	1	1	0.880681818181818	0.863636363636364	1	1	1	1		1	0.965909090909091	1	1	1	0.994318181818182	0.676136363636364	1	1	0.761363636363636	1	0.988636363636364	1	1	1	1	1	0.994318181818182	1	1	1	1	1	0.795454545454545	1	1	1	1	0.994318181818182	1	0.431818181818182	1	1	1	1	1	1	0	0	1	0.551136363636364	0.494318181818182	1
Hydractinia_polyclina	1	0.852272727272727	1	1	1	1	0.613636363636364	1	0.568181818181818	0	1	0	1	1	0.744318181818182	1	1	1	1	1	0	1	1	1	0.534090909090909	1	1	0.880681818181818	0.863636363636364	1	1	1	1	1		0.965909090909091	1	1	1	0.994318181818182	0.676136363636364	1	1	0.761363636363636	1	0.988636363636364	1	1	1	1	1	0.994318181818182	1	1	1	1	1	0.795454545454545	1	1	1	1	0.994318181818182	1	0.431818181818182	1	1	1	1	1	1	0	0	1	0.551136363636364	0.494318181818182	1
Ilyanassa_obsoleta	0.965909090909091	0.818181818181818	0.965909090909091	0.965909090909091	0.965909090909091	0.965909090909091	0.590909090909091	0.965909090909091	0.534090909090909	0	0.965909090909091	0	0.965909090909091	0.965909090909091	0.710227272727273	0.965909090909091	0.965909090909091	0.965909090909091	0.965909090909091	0.965909090909091	0	0.965909090909091	0.965909090909091	0.965909090909091	0.5	0.965909090909091	0.965909090909091	0.846590909090909	0.829545454545455	0.965909090909091	0.965909090909091	0.965909090909091	0.965909090909091	0.965909090909091	0.965909090909091		0.965909090909091	0.965909090909091	0.965909090909091	0.960227272727273	0.642045454545455	0.965909090909091	0.965909090909091	0.727272727272727	0.965909090909091	0.954545454545455	0.965909090909091	0.965909090909091	0.965909090909091	0.965909090909091	0.965909090909091	0.960227272727273	0.965909090909091	0.965909090909091	0.965909090909091	0.965909090909091	0.965909090909091	0.761363636363636	0.965909090909091	0.965909090909091	0.965909090909091	0.965909090909091	0.960227272727273	0.965909090909091	0.397727272727273	0.965909090909091	0.965909090909091	0.965909090909091	0.965909090909091	0.965909090909091	0.965909090909091	0	0	0.965909090909091	0.517045454545455	0.494318181818182	0.965909090909091
Ixodes_scapularis	1	0.852272727272727	1	1	1	1	0.613636363636364	1	0.568181818181818	0	1	0	1	1	0.744318181818182	1	1	1	1	1	0	1	1	1	0.534090909090909	1	1	0.880681818181818	0.863636363636364	1	1	1	1	1	1	0.965909090909091		1	1	0.994318181818182	0.676136363636364	1	1	0.761363636363636	1	0.988636363636364	1	1	1	1	1	0.994318181818182	1	1	1	1	1	0.795454545454545	1	1	1	1	0.994318181818182	1	0.431818181818182	1	1	1	1	1	1	0	0	1	0.551136363636364	0.494318181818182	1
Kudoa_iwatai	1	0.852272727272727	1	1	1	1	0.613636363636364	1	0.568181818181818	0	1	0	1	1	0.744318181818182	1	1	1	1	1	0	1	1	1	0.534090909090909	1	1	0.880681818181818	0.863636363636364	1	1	1	1	1	1	0.965909090909091	1		1	0.994318181818182	0.676136363636364	1	1	0.761363636363636	1	0.988636363636364	1	1	1	1	1	0.994318181818182	1	1	1	1	1	0.795454545454545	1	1	1	1	0.994318181818182	1	0.431818181818182	1	1	1	1	1	1	0	0	1	0.551136363636364	0.494318181818182	1
Latimeria_menadoensis	1	0.852272727272727	1	1	1	1	0.613636363636364	1	0.568181818181818	0	1	0	1	1	0.744318181818182	1	1	1	1	1	0	1	1	1	0.534090909090909	1	1	0.880681818181818	0.863636363636364	1	1	1	1	1	1	0.965909090909091	1	1		0.994318181818182	0.676136363636364	1	1	0.761363636363636	1	0.988636363636364	1	1	1	1	1	0.994318181818182	1	1	1	1	1	0.795454545454545	1	1	1	1	0.994318181818182	1	0.431818181818182	1	1	1	1	1	1	0	0	1	0.551136363636364	0.494318181818182	1
