	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Stephanoeca_diplocostata	1	1	1	1	1	0.992248062015504	1	1	1	1	1	0.914728682170543	1	1	1	1	1	0.984496124031008	0.992248062015504	1	0.914728682170543	1	1	0.953488372093023	0	1	0	0.992248062015504	1	1	0.868217054263566	1	1	1	1	1	1	0.992248062015504	1	1	0.75968992248062	1	1	1	1	1	0.992248062015504	1	1	1	0.984496124031008	0.984496124031008	1	1	1	1	1	0.852713178294574	1	0	1	1	0	1	1		1	0.844961240310077	1	1	1	0	0.720930232558139	1	0.705426356589147	1	1
Stomolophus_meleagris	1	1	1	1	1	0.992248062015504	1	1	1	1	1	0.914728682170543	1	1	1	1	1	0.984496124031008	0.992248062015504	1	0.914728682170543	1	1	0.953488372093023	0	1	0	0.992248062015504	1	1	0.868217054263566	1	1	1	1	1	1	0.992248062015504	1	1	0.75968992248062	1	1	1	1	1	0.992248062015504	1	1	1	0.984496124031008	0.984496124031008	1	1	1	1	1	0.852713178294574	1	0	1	1	0	1	1	1		0.844961240310077	1	1	1	0	0.720930232558139	1	0.705426356589147	1	1
Strigamia_maritima	0.844961240310077	0.844961240310077	0.844961240310077	0.844961240310077	0.844961240310077	0.837209302325581	0.844961240310077	0.844961240310077	0.844961240310077	0.844961240310077	0.844961240310077	0.75968992248062	0.844961240310077	0.844961240310077	0.844961240310077	0.844961240310077	0.844961240310077	0.829457364341085	0.844961240310077	0.844961240310077	0.75968992248062	0.844961240310077	0.844961240310077	0.844961240310077	0	0.844961240310077	0	0.837209302325581	0.844961240310077	0.844961240310077	0.713178294573643	0.844961240310077	0.844961240310077	0.844961240310077	0.844961240310077	0.844961240310077	0.844961240310077	0.837209302325581	0.844961240310077	0.844961240310077	0.751937984496124	0.844961240310077	0.844961240310077	0.844961240310077	0.844961240310077	0.844961240310077	0.837209302325581	0.844961240310077	0.844961240310077	0.844961240310077	0.829457364341085	0.829457364341085	0.844961240310077	0.844961240310077	0.844961240310077	0.844961240310077	0.844961240310077	0.844961240310077	0.844961240310077	0	0.844961240310077	0.844961240310077	0	0.844961240310077	0.844961240310077	0.844961240310077	0.844961240310077		0.844961240310077	0.844961240310077	0.844961240310077	0	0.713178294573643	0.844961240310077	0.558139534883721	0.844961240310077	0.844961240310077
Strongylocentrotus_purpuratus	1	1	1	1	1	0.992248062015504	1	1	1	1	1	0.914728682170543	1	1	1	1	1	0.984496124031008	0.992248062015504	1	0.914728682170543	1	1	0.953488372093023	0	1	0	0.992248062015504	1	1	0.868217054263566	1	1	1	1	1	1	0.992248062015504	1	1	0.75968992248062	1	1	1	1	1	0.992248062015504	1	1	1	0.984496124031008	0.984496124031008	1	1	1	1	1	0.852713178294574	1	0	1	1	0	1	1	1	1	0.844961240310077		1	1	0	0.720930232558139	1	0.705426356589147	1	1
Sycon_ciliatum	1	1	1	1	1	0.992248062015504	1	1	1	1	1	0.914728682170543	1	1	1	1	1	0.984496124031008	0.992248062015504	1	0.914728682170543	1	1	0.953488372093023	0	1	0	0.992248062015504	1	1	0.868217054263566	1	1	1	1	1	1	0.992248062015504	1	1	0.75968992248062	1	1	1	1	1	0.992248062015504	1	1	1	0.984496124031008	0.984496124031008	1	1	1	1	1	0.852713178294574	1	0	1	1	0	1	1	1	1	0.844961240310077	1		1	0	0.720930232558139	1	0.705426356589147	1	1
Sycon_coactum	1	1	1	1	1	0.992248062015504	1	1	1	1	1	0.914728682170543	1	1	1	1	1	0.984496124031008	0.992248062015504	1	0.914728682170543	1	1	0.953488372093023	0	1	0	0.992248062015504	1	1	0.868217054263566	1	1	1	1	1	1	0.992248062015504	1	1	0.75968992248062	1	1	1	1	1	0.992248062015504	1	1	1	0.984496124031008	0.984496124031008	1	1	1	1	1	0.852713178294574	1	0	1	1	0	1	1	1	1	0.844961240310077	1	1		0	0.720930232558139	1	0.705426356589147	1	1
Tetracapsuloides_bryosalmonae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0
Thelohanellus_kitauei	0.720930232558139	0.720930232558139	0.720930232558139	0.720930232558139	0.720930232558139	0.720930232558139	0.720930232558139	0.720930232558139	0.720930232558139	0.720930232558139	0.720930232558139	0.720930232558139	0.720930232558139	0.720930232558139	0.720930232558139	0.720930232558139	0.720930232558139	0.720930232558139	0.720930232558139	0.720930232558139	0.720930232558139	0.720930232558139	0.720930232558139	0.720930232558139	0	0.720930232558139	0	0.720930232558139	0.720930232558139	0.720930232558139	0.713178294573643	0.720930232558139	0.720930232558139	0.720930232558139	0.720930232558139	0.720930232558139	0.720930232558139	0.713178294573643	0.720930232558139	0.720930232558139	0.627906976744186	0.720930232558139	0.720930232558139	0.720930232558139	0.720930232558139	0.720930232558139	0.713178294573643	0.720930232558139	0.720930232558139	0.720930232558139	0.720930232558139	0.720930232558139	0.720930232558139	0.720930232558139	0.720930232558139	0.720930232558139	0.720930232558139	0.720930232558139	0.720930232558139	0	0.720930232558139	0.720930232558139	0	0.720930232558139	0.720930232558139	0.720930232558139	0.720930232558139	0.713178294573643	0.720930232558139	0.720930232558139	0.720930232558139	0		0.720930232558139	0.558139534883721	0.720930232558139	0.720930232558139
Trichoplax_adhaerens	1	1	1	1	1	0.992248062015504	1	1	1	1	1	0.914728682170543	1	1	1	1	1	0.984496124031008	0.992248062015504	1	0.914728682170543	1	1	0.953488372093023	0	1	0	0.992248062015504	1	1	0.868217054263566	1	1	1	1	1	1	0.992248062015504	1	1	0.75968992248062	1	1	1	1	1	0.992248062015504	1	1	1	0.984496124031008	0.984496124031008	1	1	1	1	1	0.852713178294574	1	0	1	1	0	1	1	1	1	0.844961240310077	1	1	1	0	0.720930232558139		0.705426356589147	1	1
Tripedalia_cystophora	0.705426356589147	0.705426356589147	0.705426356589147	0.705426356589147	0.705426356589147	0.705426356589147	0.705426356589147	0.705426356589147	0.705426356589147	0.705426356589147	0.705426356589147	0.705426356589147	0.705426356589147	0.705426356589147	0.705426356589147	0.705426356589147	0.705426356589147	0.705426356589147	0.697674418604651	0.705426356589147	0.705426356589147	0.705426356589147	0.705426356589147	0.65891472868217	0	0.705426356589147	0	0.705426356589147	0.705426356589147	0.705426356589147	0.705426356589147	0.705426356589147	0.705426356589147	0.705426356589147	0.705426356589147	0.705426356589147	0.705426356589147	0.705426356589147	0.705426356589147	0.705426356589147	0.465116279069767	0.705426356589147	0.705426356589147	0.705426356589147	0.705426356589147	0.705426356589147	0.705426356589147	0.705426356589147	0.705426356589147	0.705426356589147	0.705426356589147	0.705426356589147	0.705426356589147	0.705426356589147	0.705426356589147	0.705426356589147	0.705426356589147	0.558139534883721	0.705426356589147	0	0.705426356589147	0.705426356589147	0	0.705426356589147	0.705426356589147	0.705426356589147	0.705426356589147	0.558139534883721	0.705426356589147	0.705426356589147	0.705426356589147	0	0.558139534883721	0.705426356589147		0.705426356589147	0.705426356589147
Urticina_eques	1	1	1	1	1	0.992248062015504	1	1	1	1	1	0.914728682170543	1	1	1	1	1	0.984496124031008	0.992248062015504	1	0.914728682170543	1	1	0.953488372093023	0	1	0	0.992248062015504	1	1	0.868217054263566	1	1	1	1	1	1	0.992248062015504	1	1	0.75968992248062	1	1	1	1	1	0.992248062015504	1	1	1	0.984496124031008	0.984496124031008	1	1	1	1	1	0.852713178294574	1	0	1	1	0	1	1	1	1	0.844961240310077	1	1	1	0	0.720930232558139	1	0.705426356589147		1
Vallicula_multiformis	1	1	1	1	1	0.992248062015504	1	1	1	1	1	0.914728682170543	1	1	1	1	1	0.984496124031008	0.992248062015504	1	0.914728682170543	1	1	0.953488372093023	0	1	0	0.992248062015504	1	1	0.868217054263566	1	1	1	1	1	1	0.992248062015504	1	1	0.75968992248062	1	1	1	1	1	0.992248062015504	1	1	1	0.984496124031008	0.984496124031008	1	1	1	1	1	0.852713178294574	1	0	1	1	0	1	1	1	1	0.844961240310077	1	1	1	0	0.720930232558139	1	0.705426356589147	1	
