	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Octopus_vulgaris	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0.994475138121547	1	0	1	1	1	1	1	0.624309392265193	1	1	1	1	1	1	1	1	0.762430939226519	0.955801104972376	1	1	0.900552486187845	1	0.983425414364641	1	0.983425414364641	1		0.994475138121547	1	1	1	1	1	1	0.950276243093923	0.994475138121547	1	1	1	0.414364640883978	1	0	1	1	0.629834254143646	1	1	1	0	0	1	0.287292817679558	0.972375690607735	1
Oscarella	0.994475138121547	0.994475138121547	0.994475138121547	0.994475138121547	0.994475138121547	0.994475138121547	0.994475138121547	0.994475138121547	0.994475138121547	0.994475138121547	0.994475138121547	0	0.994475138121547	0.994475138121547	0.994475138121547	0.994475138121547	0.994475138121547	0.994475138121547	0.994475138121547	0.994475138121547	0	0.994475138121547	0.988950276243094	0.994475138121547	0	0.994475138121547	0.994475138121547	0.994475138121547	0.994475138121547	0.994475138121547	0.624309392265193	0.994475138121547	0.994475138121547	0.994475138121547	0.994475138121547	0.994475138121547	0.994475138121547	0.994475138121547	0.994475138121547	0.762430939226519	0.955801104972376	0.994475138121547	0.994475138121547	0.900552486187845	0.994475138121547	0.983425414364641	0.994475138121547	0.983425414364641	0.994475138121547	0.994475138121547		0.994475138121547	0.994475138121547	0.994475138121547	0.994475138121547	0.994475138121547	0.994475138121547	0.94475138121547	0.988950276243094	0.994475138121547	0.994475138121547	0.994475138121547	0.414364640883978	0.994475138121547	0	0.994475138121547	0.994475138121547	0.629834254143646	0.994475138121547	0.994475138121547	0.994475138121547	0	0	0.994475138121547	0.281767955801105	0.966850828729282	0.994475138121547
Oscarella_carmela	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0.994475138121547	1	0	1	1	1	1	1	0.624309392265193	1	1	1	1	1	1	1	1	0.762430939226519	0.955801104972376	1	1	0.900552486187845	1	0.983425414364641	1	0.983425414364641	1	1	0.994475138121547		1	1	1	1	1	0.950276243093923	0.994475138121547	1	1	1	0.414364640883978	1	0	1	1	0.629834254143646	1	1	1	0	0	1	0.287292817679558	0.972375690607735	1
Patiria_miniata	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0.994475138121547	1	0	1	1	1	1	1	0.624309392265193	1	1	1	1	1	1	1	1	0.762430939226519	0.955801104972376	1	1	0.900552486187845	1	0.983425414364641	1	0.983425414364641	1	1	0.994475138121547	1		1	1	1	1	0.950276243093923	0.994475138121547	1	1	1	0.414364640883978	1	0	1	1	0.629834254143646	1	1	1	0	0	1	0.287292817679558	0.972375690607735	1
Pediculus_humanus_corporis	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0.994475138121547	1	0	1	1	1	1	1	0.624309392265193	1	1	1	1	1	1	1	1	0.762430939226519	0.955801104972376	1	1	0.900552486187845	1	0.983425414364641	1	0.983425414364641	1	1	0.994475138121547	1	1		1	1	1	0.950276243093923	0.994475138121547	1	1	1	0.414364640883978	1	0	1	1	0.629834254143646	1	1	1	0	0	1	0.287292817679558	0.972375690607735	1
Petromyzon_marinus	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0.994475138121547	1	0	1	1	1	1	1	0.624309392265193	1	1	1	1	1	1	1	1	0.762430939226519	0.955801104972376	1	1	0.900552486187845	1	0.983425414364641	1	0.983425414364641	1	1	0.994475138121547	1	1	1		1	1	0.950276243093923	0.994475138121547	1	1	1	0.414364640883978	1	0	1	1	0.629834254143646	1	1	1	0	0	1	0.287292817679558	0.972375690607735	1
Petrosia_ficiformis	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0.994475138121547	1	0	1	1	1	1	1	0.624309392265193	1	1	1	1	1	1	1	1	0.762430939226519	0.955801104972376	1	1	0.900552486187845	1	0.983425414364641	1	0.983425414364641	1	1	0.994475138121547	1	1	1	1		1	0.950276243093923	0.994475138121547	1	1	1	0.414364640883978	1	0	1	1	0.629834254143646	1	1	1	0	0	1	0.287292817679558	0.972375690607735	1
Pleurobrachia_pileus	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0.994475138121547	1	0	1	1	1	1	1	0.624309392265193	1	1	1	1	1	1	1	1	0.762430939226519	0.955801104972376	1	1	0.900552486187845	1	0.983425414364641	1	0.983425414364641	1	1	0.994475138121547	1	1	1	1	1		0.950276243093923	0.994475138121547	1	1	1	0.414364640883978	1	0	1	1	0.629834254143646	1	1	1	0	0	1	0.287292817679558	0.972375690607735	1
Pocillopora_damicornis	0.950276243093923	0.950276243093923	0.950276243093923	0.950276243093923	0.950276243093923	0.950276243093923	0.950276243093923	0.950276243093923	0.950276243093923	0.950276243093923	0.950276243093923	0	0.950276243093923	0.950276243093923	0.950276243093923	0.950276243093923	0.950276243093923	0.950276243093923	0.950276243093923	0.950276243093923	0	0.950276243093923	0.94475138121547	0.950276243093923	0	0.950276243093923	0.950276243093923	0.950276243093923	0.950276243093923	0.950276243093923	0.574585635359116	0.950276243093923	0.950276243093923	0.950276243093923	0.950276243093923	0.950276243093923	0.950276243093923	0.950276243093923	0.950276243093923	0.712707182320442	0.906077348066298	0.950276243093923	0.950276243093923	0.850828729281768	0.950276243093923	0.933701657458563	0.950276243093923	0.933701657458563	0.950276243093923	0.950276243093923	0.94475138121547	0.950276243093923	0.950276243093923	0.950276243093923	0.950276243093923	0.950276243093923	0.950276243093923		0.94475138121547	0.950276243093923	0.950276243093923	0.950276243093923	0.364640883977901	0.950276243093923	0	0.950276243093923	0.950276243093923	0.580110497237569	0.950276243093923	0.950276243093923	0.950276243093923	0	0	0.950276243093923	0.287292817679558	0.94475138121547	0.950276243093923
Polypodium_hydriforme	0.994475138121547	0.994475138121547	0.994475138121547	0.994475138121547	0.994475138121547	0.994475138121547	0.994475138121547	0.994475138121547	0.994475138121547	0.994475138121547	0.994475138121547	0	0.994475138121547	0.994475138121547	0.994475138121547	0.994475138121547	0.994475138121547	0.994475138121547	0.994475138121547	0.994475138121547	0	0.994475138121547	0.988950276243094	0.994475138121547	0	0.994475138121547	0.994475138121547	0.994475138121547	0.994475138121547	0.994475138121547	0.624309392265193	0.994475138121547	0.994475138121547	0.994475138121547	0.994475138121547	0.994475138121547	0.994475138121547	0.994475138121547	0.994475138121547	0.762430939226519	0.950276243093923	0.994475138121547	0.994475138121547	0.900552486187845	0.994475138121547	0.977900552486188	0.994475138121547	0.977900552486188	0.994475138121547	0.994475138121547	0.988950276243094	0.994475138121547	0.994475138121547	0.994475138121547	0.994475138121547	0.994475138121547	0.994475138121547	0.94475138121547		0.994475138121547	0.994475138121547	0.994475138121547	0.414364640883978	0.994475138121547	0	0.994475138121547	0.994475138121547	0.629834254143646	0.994475138121547	0.994475138121547	0.994475138121547	0	0	0.994475138121547	0.281767955801105	0.966850828729282	0.994475138121547
