	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Acanthoeca_like_sp_10tr		0	0	0	0	0	0.0563674321503132	0	0	0.0354906054279749	0	0.0563674321503132	0	0	0	0	0	0	0	0	0.0563674321503132	0	0	0	0.00208768267223382	0	0	0.0208768267223382	0	0	0	0	0	0	0	0.00417536534446764	0	0	0	0.0563674321503132	0	0	0	0	0	0.0417536534446764	0	0	0	0	0	0	0	0	0.0354906054279749	0	0	0	0	0	0	0	0.0313152400835073	0	0.0563674321503132	0.0396659707724426	0	0	0	0	0	0.0208768267223382	0.00835073068893528	0	0	0.0354906054279749	0
Acropora_cervicornis	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aiptasia_pallida	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amoebidium	0	0	0		0	0	0.00626304801670146	0	0	0	0	0.00626304801670146	0	0.00417536534446764	0	0	0	0	0	0	0.00626304801670146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00626304801670146	0.00417536534446764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00417536534446764	0.00626304801670146	0	0	0	0	0	0	0.00626304801670146	0	0	0	0.00417536534446764	0
Amphimedon_queenslandica	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aphrocallistes_vastus	0	0	0	0	0		0.00417536534446764	0.00208768267223382	0	0.00208768267223382	0	0.00417536534446764	0	0	0	0	0	0	0	0	0.00417536534446764	0	0	0	0	0	0	0.00417536534446764	0	0	0	0	0	0	0	0	0	0	0	0.00417536534446764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00208768267223382	0	0.00417536534446764	0	0	0	0	0	0	0.00208768267223382	0	0	0	0.00208768267223382	0
Aurelia_aurita	0.0563674321503132	0	0	0.00626304801670146	0	0.00417536534446764		0.269311064718163	0.0855949895615866	0.54070981210856	0	1	0.00208768267223382	0.00417536534446764	0.0793319415448852	0.00208768267223382	0.0208768267223382	0.0187891440501044	0	0	1	0	0	0.00417536534446764	0.0313152400835073	0.0187891440501044	0.0939457202505219	0.480167014613779	0.0125260960334029	0	0	0	0.00417536534446764	0	0.0208768267223382	0.0187891440501044	0	0	0	1	0.00626304801670146	0.0542797494780793	0.0876826722338205	0	0	0.100208768267223	0	0	0	0	0	0	0	0.0104384133611691	0.154488517745303	0	0.121085594989562	0.0354906054279749	0	0	0	0	0.340292275574113	0.00626304801670146	1	0.0501043841336117	0	0.0521920668058455	0	0	0	0.465553235908142	0.0751565762004175	0	0.164926931106472	0.774530271398747	0.00835073068893528
Beroe_abyssicola	0	0	0	0	0	0.00208768267223382	0.269311064718163		0.0855949895615866	0.267223382045929	0	0.269311064718163	0	0	0	0	0	0.0187891440501044	0	0	0.269311064718163	0	0	0	0.0208768267223382	0	0	0.240083507306889	0.0125260960334029	0	0	0	0.00417536534446764	0	0	0	0	0	0	0.269311064718163	0.00208768267223382	0.0542797494780793	0	0	0	0	0	0	0	0	0	0	0	0.0104384133611691	0.0146137787056367	0	0.121085594989562	0	0	0	0	0	0.267223382045929	0	0.269311064718163	0	0	0.00208768267223382	0	0	0	0.00208768267223382	0.0125260960334029	0	0.0772442588726514	0.267223382045929	0.00835073068893528
Bolocera_tuediae	0	0	0	0	0	0	0.0855949895615866	0.0855949895615866		0.0855949895615866	0	0.0855949895615866	0	0	0	0	0	0	0	0	0.0855949895615866	0	0	0	0.00208768267223382	0	0	0.0855949895615866	0.0125260960334029	0	0	0	0.00417536534446764	0	0	0	0	0	0	0.0855949895615866	0.00208768267223382	0.0542797494780793	0	0	0	0	0	0	0	0	0	0	0	0.0104384133611691	0	0	0.0855949895615866	0	0	0	0	0	0.0855949895615866	0	0.0855949895615866	0	0	0	0	0	0	0	0.00626304801670146	0	0.0772442588726514	0.0855949895615866	0.00835073068893528
Botryllus_schlosseri	0.0354906054279749	0	0	0	0	0.00208768267223382	0.54070981210856	0.267223382045929	0.0855949895615866		0	0.54070981210856	0	0	0.0668058455114822	0.00208768267223382	0.0208768267223382	0.0187891440501044	0	0	0.54070981210856	0	0	0.00417536534446764	0.0250521920668058	0	0.0668058455114822	0.306889352818372	0.0125260960334029	0	0	0	0.00417536534446764	0	0.0208768267223382	0.0146137787056367	0	0	0	0.54070981210856	0.00208768267223382	0.0542797494780793	0.0668058455114822	0	0	0.0688935281837161	0	0	0	0	0	0	0	0.0104384133611691	0.0855949895615866	0	0.121085594989562	0	0	0	0	0	0.340292275574113	0.00208768267223382	0.54070981210856	0.0292275574112735	0	0	0	0	0	0.0688935281837161	0.0688935281837161	0	0.152400835073069	0.473903966597077	0.00835073068893528
Branchiostoma_floridae	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Buddenbrockia_plumatellae	0.0563674321503132	0	0	0.00626304801670146	0	0.00417536534446764	1	0.269311064718163	0.0855949895615866	0.54070981210856	0		0.00208768267223382	0.00417536534446764	0.0793319415448852	0.00208768267223382	0.0208768267223382	0.0187891440501044	0	0	1	0	0	0.00417536534446764	0.0313152400835073	0.0187891440501044	0.0939457202505219	0.480167014613779	0.0125260960334029	0	0	0	0.00417536534446764	0	0.0208768267223382	0.0187891440501044	0	0	0	1	0.00626304801670146	0.0542797494780793	0.0876826722338205	0	0	0.100208768267223	0	0	0	0	0	0	0	0.0104384133611691	0.154488517745303	0	0.121085594989562	0.0354906054279749	0	0	0	0	0.340292275574113	0.00626304801670146	1	0.0501043841336117	0	0.0521920668058455	0	0	0	0.465553235908142	0.0751565762004175	0	0.164926931106472	0.774530271398747	0.00835073068893528
Capitella_teleta	0	0	0	0	0	0	0.00208768267223382	0	0	0	0	0.00208768267223382		0	0	0	0	0	0	0	0.00208768267223382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00208768267223382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00208768267223382	0	0	0	0	0	0	0.00208768267223382	0	0	0	0.00208768267223382	0
Capsaspora_owczarzaki_atcc30864	0	0	0	0.00417536534446764	0	0	0.00417536534446764	0	0	0	0	0.00417536534446764	0		0	0	0	0	0	0	0.00417536534446764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00417536534446764	0.00417536534446764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00417536534446764	0.00417536534446764	0	0	0	0	0	0	0.00417536534446764	0	0	0	0.00417536534446764	0
Chondrilla_nucula	0	0	0	0	0	0	0.0793319415448852	0	0	0.0668058455114822	0	0.0793319415448852	0	0		0	0.0208768267223382	0	0	0	0.0793319415448852	0	0	0	0.00208768267223382	0	0.0793319415448852	0.0793319415448852	0	0	0	0	0	0	0.0208768267223382	0.0146137787056367	0	0	0	0.0793319415448852	0	0	0.0793319415448852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0187891440501044	0	0.0793319415448852	0	0	0	0	0	0	0.0793319415448852	0.022964509394572	0	0.0167014613778706	0.0146137787056367	0
Ciona_intestinalis	0	0	0	0	0	0	0.00208768267223382	0	0	0.00208768267223382	0	0.00208768267223382	0	0	0		0	0	0	0	0.00208768267223382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00208768267223382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00208768267223382	0.00208768267223382	0	0	0	0	0	0	0.00208768267223382	0	0	0	0	0
Clytia_hemisphaerica	0	0	0	0	0	0	0.0208768267223382	0	0	0.0208768267223382	0	0.0208768267223382	0	0	0.0208768267223382	0		0	0	0	0.0208768267223382	0	0	0	0	0	0.0208768267223382	0.0208768267223382	0	0	0	0	0	0	0.0208768267223382	0.0146137787056367	0	0	0	0.0208768267223382	0	0	0.0208768267223382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0187891440501044	0	0.0208768267223382	0	0	0	0	0	0	0.0208768267223382	0.0208768267223382	0	0.0167014613778706	0	0
Corticium_candelabrum	0	0	0	0	0	0	0.0187891440501044	0.0187891440501044	0	0.0187891440501044	0	0.0187891440501044	0	0	0	0	0		0	0	0.0187891440501044	0	0	0	0	0	0	0.0187891440501044	0	0	0	0	0	0	0	0	0	0	0	0.0187891440501044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0187891440501044	0	0.0187891440501044	0	0	0	0	0	0	0	0	0	0	0.0187891440501044	0
Craspedacusta_sowerbyi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crassostrea_gigas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyanea_capillata	0.0563674321503132	0	0	0.00626304801670146	0	0.00417536534446764	1	0.269311064718163	0.0855949895615866	0.54070981210856	0	1	0.00208768267223382	0.00417536534446764	0.0793319415448852	0.00208768267223382	0.0208768267223382	0.0187891440501044	0	0		0	0	0.00417536534446764	0.0313152400835073	0.0187891440501044	0.0939457202505219	0.480167014613779	0.0125260960334029	0	0	0	0.00417536534446764	0	0.0208768267223382	0.0187891440501044	0	0	0	1	0.00626304801670146	0.0542797494780793	0.0876826722338205	0	0	0.100208768267223	0	0	0	0	0	0	0	0.0104384133611691	0.154488517745303	0	0.121085594989562	0.0354906054279749	0	0	0	0	0.340292275574113	0.00626304801670146	1	0.0501043841336117	0	0.0521920668058455	0	0	0	0.465553235908142	0.0751565762004175	0	0.164926931106472	0.774530271398747	0.00835073068893528
Daphnia_pulex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ectopleura_larynx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
