	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Branchiostoma_floridae	1	0.714285714285714	1	1	1	0.995073891625616	1	1	0.990147783251232	1		1	1	1	0.793103448275862	1	1	0.940886699507389	1	1	0.354679802955665	1	1	0.990147783251232	1	1	0	0.995073891625616	1	0.980295566502463	1	1	1	1	1	1	1	1	1	0.950738916256158	0.891625615763547	1	1	1	1	1	1	1	1	1	0.995073891625616	0.995073891625616	1	1	1	1	1	1	1	0.985221674876847	1	1	0.990147783251232	1	1	1	1	1	1	1	1	0.980295566502463	1	1	0	0.935960591133005	1
Buddenbrockia_plumatellae	1	0.714285714285714	1	1	1	0.995073891625616	1	1	0.990147783251232	1	1		1	1	0.793103448275862	1	1	0.940886699507389	1	1	0.354679802955665	1	1	0.990147783251232	1	1	0	0.995073891625616	1	0.980295566502463	1	1	1	1	1	1	1	1	1	0.950738916256158	0.891625615763547	1	1	1	1	1	1	1	1	1	0.995073891625616	0.995073891625616	1	1	1	1	1	1	1	0.985221674876847	1	1	0.990147783251232	1	1	1	1	1	1	1	1	0.980295566502463	1	1	0	0.935960591133005	1
Capitella_teleta	1	0.714285714285714	1	1	1	0.995073891625616	1	1	0.990147783251232	1	1	1		1	0.793103448275862	1	1	0.940886699507389	1	1	0.354679802955665	1	1	0.990147783251232	1	1	0	0.995073891625616	1	0.980295566502463	1	1	1	1	1	1	1	1	1	0.950738916256158	0.891625615763547	1	1	1	1	1	1	1	1	1	0.995073891625616	0.995073891625616	1	1	1	1	1	1	1	0.985221674876847	1	1	0.990147783251232	1	1	1	1	1	1	1	1	0.980295566502463	1	1	0	0.935960591133005	1
Capsaspora_owczarzaki_atcc30864	1	0.714285714285714	1	1	1	0.995073891625616	1	1	0.990147783251232	1	1	1	1		0.793103448275862	1	1	0.940886699507389	1	1	0.354679802955665	1	1	0.990147783251232	1	1	0	0.995073891625616	1	0.980295566502463	1	1	1	1	1	1	1	1	1	0.950738916256158	0.891625615763547	1	1	1	1	1	1	1	1	1	0.995073891625616	0.995073891625616	1	1	1	1	1	1	1	0.985221674876847	1	1	0.990147783251232	1	1	1	1	1	1	1	1	0.980295566502463	1	1	0	0.935960591133005	1
Chondrilla_nucula	0.793103448275862	0.551724137931034	0.793103448275862	0.793103448275862	0.793103448275862	0.788177339901478	0.793103448275862	0.793103448275862	0.793103448275862	0.793103448275862	0.793103448275862	0.793103448275862	0.793103448275862	0.793103448275862		0.793103448275862	0.793103448275862	0.733990147783251	0.793103448275862	0.793103448275862	0.25615763546798	0.793103448275862	0.793103448275862	0.793103448275862	0.793103448275862	0.793103448275862	0	0.788177339901478	0.793103448275862	0.778325123152709	0.793103448275862	0.793103448275862	0.793103448275862	0.793103448275862	0.793103448275862	0.793103448275862	0.793103448275862	0.793103448275862	0.793103448275862	0.74384236453202	0.783251231527094	0.793103448275862	0.793103448275862	0.793103448275862	0.793103448275862	0.793103448275862	0.793103448275862	0.793103448275862	0.793103448275862	0.793103448275862	0.788177339901478	0.788177339901478	0.793103448275862	0.793103448275862	0.793103448275862	0.793103448275862	0.793103448275862	0.793103448275862	0.793103448275862	0.793103448275862	0.793103448275862	0.793103448275862	0.783251231527094	0.793103448275862	0.793103448275862	0.793103448275862	0.793103448275862	0.793103448275862	0.793103448275862	0.793103448275862	0.793103448275862	0.793103448275862	0.793103448275862	0.793103448275862	0	0.793103448275862	0.793103448275862
Ciona_intestinalis	1	0.714285714285714	1	1	1	0.995073891625616	1	1	0.990147783251232	1	1	1	1	1	0.793103448275862		1	0.940886699507389	1	1	0.354679802955665	1	1	0.990147783251232	1	1	0	0.995073891625616	1	0.980295566502463	1	1	1	1	1	1	1	1	1	0.950738916256158	0.891625615763547	1	1	1	1	1	1	1	1	1	0.995073891625616	0.995073891625616	1	1	1	1	1	1	1	0.985221674876847	1	1	0.990147783251232	1	1	1	1	1	1	1	1	0.980295566502463	1	1	0	0.935960591133005	1
Clytia_hemisphaerica	1	0.714285714285714	1	1	1	0.995073891625616	1	1	0.990147783251232	1	1	1	1	1	0.793103448275862	1		0.940886699507389	1	1	0.354679802955665	1	1	0.990147783251232	1	1	0	0.995073891625616	1	0.980295566502463	1	1	1	1	1	1	1	1	1	0.950738916256158	0.891625615763547	1	1	1	1	1	1	1	1	1	0.995073891625616	0.995073891625616	1	1	1	1	1	1	1	0.985221674876847	1	1	0.990147783251232	1	1	1	1	1	1	1	1	0.980295566502463	1	1	0	0.935960591133005	1
Corticium_candelabrum	0.940886699507389	0.714285714285714	0.940886699507389	0.940886699507389	0.940886699507389	0.940886699507389	0.940886699507389	0.940886699507389	0.931034482758621	0.940886699507389	0.940886699507389	0.940886699507389	0.940886699507389	0.940886699507389	0.733990147783251	0.940886699507389	0.940886699507389		0.940886699507389	0.940886699507389	0.354679802955665	0.940886699507389	0.940886699507389	0.931034482758621	0.940886699507389	0.940886699507389	0	0.940886699507389	0.940886699507389	0.921182266009852	0.940886699507389	0.940886699507389	0.940886699507389	0.940886699507389	0.940886699507389	0.940886699507389	0.940886699507389	0.940886699507389	0.940886699507389	0.940886699507389	0.832512315270936	0.940886699507389	0.940886699507389	0.940886699507389	0.940886699507389	0.940886699507389	0.940886699507389	0.940886699507389	0.940886699507389	0.940886699507389	0.940886699507389	0.940886699507389	0.940886699507389	0.940886699507389	0.940886699507389	0.940886699507389	0.940886699507389	0.940886699507389	0.940886699507389	0.926108374384236	0.940886699507389	0.940886699507389	0.931034482758621	0.940886699507389	0.940886699507389	0.940886699507389	0.940886699507389	0.940886699507389	0.940886699507389	0.940886699507389	0.940886699507389	0.921182266009852	0.940886699507389	0.940886699507389	0	0.876847290640394	0.940886699507389
Craspedacusta_sowerbyi	1	0.714285714285714	1	1	1	0.995073891625616	1	1	0.990147783251232	1	1	1	1	1	0.793103448275862	1	1	0.940886699507389		1	0.354679802955665	1	1	0.990147783251232	1	1	0	0.995073891625616	1	0.980295566502463	1	1	1	1	1	1	1	1	1	0.950738916256158	0.891625615763547	1	1	1	1	1	1	1	1	1	0.995073891625616	0.995073891625616	1	1	1	1	1	1	1	0.985221674876847	1	1	0.990147783251232	1	1	1	1	1	1	1	1	0.980295566502463	1	1	0	0.935960591133005	1
Crassostrea_gigas	1	0.714285714285714	1	1	1	0.995073891625616	1	1	0.990147783251232	1	1	1	1	1	0.793103448275862	1	1	0.940886699507389	1		0.354679802955665	1	1	0.990147783251232	1	1	0	0.995073891625616	1	0.980295566502463	1	1	1	1	1	1	1	1	1	0.950738916256158	0.891625615763547	1	1	1	1	1	1	1	1	1	0.995073891625616	0.995073891625616	1	1	1	1	1	1	1	0.985221674876847	1	1	0.990147783251232	1	1	1	1	1	1	1	1	0.980295566502463	1	1	0	0.935960591133005	1
Cyanea_capillata	0.354679802955665	0.354679802955665	0.354679802955665	0.354679802955665	0.354679802955665	0.354679802955665	0.354679802955665	0.354679802955665	0.344827586206897	0.354679802955665	0.354679802955665	0.354679802955665	0.354679802955665	0.354679802955665	0.25615763546798	0.354679802955665	0.354679802955665	0.354679802955665	0.354679802955665	0.354679802955665		0.354679802955665	0.354679802955665	0.344827586206897	0.354679802955665	0.354679802955665	0	0.354679802955665	0.354679802955665	0.349753694581281	0.354679802955665	0.354679802955665	0.354679802955665	0.354679802955665	0.354679802955665	0.354679802955665	0.354679802955665	0.354679802955665	0.354679802955665	0.354679802955665	0.246305418719212	0.354679802955665	0.354679802955665	0.354679802955665	0.354679802955665	0.354679802955665	0.354679802955665	0.354679802955665	0.354679802955665	0.354679802955665	0.354679802955665	0.354679802955665	0.354679802955665	0.354679802955665	0.354679802955665	0.354679802955665	0.354679802955665	0.354679802955665	0.354679802955665	0.339901477832512	0.354679802955665	0.354679802955665	0.344827586206897	0.354679802955665	0.354679802955665	0.354679802955665	0.354679802955665	0.354679802955665	0.354679802955665	0.354679802955665	0.354679802955665	0.334975369458128	0.354679802955665	0.354679802955665	0	0.29064039408867	0.354679802955665
Daphnia_pulex	1	0.714285714285714	1	1	1	0.995073891625616	1	1	0.990147783251232	1	1	1	1	1	0.793103448275862	1	1	0.940886699507389	1	1	0.354679802955665		1	0.990147783251232	1	1	0	0.995073891625616	1	0.980295566502463	1	1	1	1	1	1	1	1	1	0.950738916256158	0.891625615763547	1	1	1	1	1	1	1	1	1	0.995073891625616	0.995073891625616	1	1	1	1	1	1	1	0.985221674876847	1	1	0.990147783251232	1	1	1	1	1	1	1	1	0.980295566502463	1	1	0	0.935960591133005	1
Ectopleura_larynx	1	0.714285714285714	1	1	1	0.995073891625616	1	1	0.990147783251232	1	1	1	1	1	0.793103448275862	1	1	0.940886699507389	1	1	0.354679802955665	1		0.990147783251232	1	1	0	0.995073891625616	1	0.980295566502463	1	1	1	1	1	1	1	1	1	0.950738916256158	0.891625615763547	1	1	1	1	1	1	1	1	1	0.995073891625616	0.995073891625616	1	1	1	1	1	1	1	0.985221674876847	1	1	0.990147783251232	1	1	1	1	1	1	1	1	0.980295566502463	1	1	0	0.935960591133005	1
Edwardsiella_lineata	0.990147783251232	0.704433497536946	0.990147783251232	0.990147783251232	0.990147783251232	0.985221674876847	0.990147783251232	0.990147783251232	0.990147783251232	0.990147783251232	0.990147783251232	0.990147783251232	0.990147783251232	0.990147783251232	0.793103448275862	0.990147783251232	0.990147783251232	0.931034482758621	0.990147783251232	0.990147783251232	0.344827586206897	0.990147783251232	0.990147783251232		0.990147783251232	0.990147783251232	0	0.985221674876847	0.990147783251232	0.975369458128079	0.990147783251232	0.990147783251232	0.990147783251232	0.990147783251232	0.990147783251232	0.990147783251232	0.990147783251232	0.990147783251232	0.990147783251232	0.940886699507389	0.891625615763547	0.990147783251232	0.990147783251232	0.990147783251232	0.990147783251232	0.990147783251232	0.990147783251232	0.990147783251232	0.990147783251232	0.990147783251232	0.985221674876847	0.985221674876847	0.990147783251232	0.990147783251232	0.990147783251232	0.990147783251232	0.990147783251232	0.990147783251232	0.990147783251232	0.985221674876847	0.990147783251232	0.990147783251232	0.980295566502463	0.990147783251232	0.990147783251232	0.990147783251232	0.990147783251232	0.990147783251232	0.990147783251232	0.990147783251232	0.990147783251232	0.980295566502463	0.990147783251232	0.990147783251232	0	0.935960591133005	0.990147783251232
Enteromyxum_leei	1	0.714285714285714	1	1	1	0.995073891625616	1	1	0.990147783251232	1	1	1	1	1	0.793103448275862	1	1	0.940886699507389	1	1	0.354679802955665	1	1	0.990147783251232		1	0	0.995073891625616	1	0.980295566502463	1	1	1	1	1	1	1	1	1	0.950738916256158	0.891625615763547	1	1	1	1	1	1	1	1	1	0.995073891625616	0.995073891625616	1	1	1	1	1	1	1	0.985221674876847	1	1	0.990147783251232	1	1	1	1	1	1	1	1	0.980295566502463	1	1	0	0.935960591133005	1
Ephydatia_muelleri	1	0.714285714285714	1	1	1	0.995073891625616	1	1	0.990147783251232	1	1	1	1	1	0.793103448275862	1	1	0.940886699507389	1	1	0.354679802955665	1	1	0.990147783251232	1		0	0.995073891625616	1	0.980295566502463	1	1	1	1	1	1	1	1	1	0.950738916256158	0.891625615763547	1	1	1	1	1	1	1	1	1	0.995073891625616	0.995073891625616	1	1	1	1	1	1	1	0.985221674876847	1	1	0.990147783251232	1	1	1	1	1	1	1	1	0.980295566502463	1	1	0	0.935960591133005	1
Eunicella_cavolinii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Euplectella_aspergillum	0.995073891625616	0.714285714285714	0.995073891625616	0.995073891625616	0.995073891625616	0.995073891625616	0.995073891625616	0.995073891625616	0.985221674876847	0.995073891625616	0.995073891625616	0.995073891625616	0.995073891625616	0.995073891625616	0.788177339901478	0.995073891625616	0.995073891625616	0.940886699507389	0.995073891625616	0.995073891625616	0.354679802955665	0.995073891625616	0.995073891625616	0.985221674876847	0.995073891625616	0.995073891625616	0		0.995073891625616	0.975369458128079	0.995073891625616	0.995073891625616	0.995073891625616	0.995073891625616	0.995073891625616	0.995073891625616	0.995073891625616	0.995073891625616	0.995073891625616	0.950738916256158	0.886699507389163	0.995073891625616	0.995073891625616	0.995073891625616	0.995073891625616	0.995073891625616	0.995073891625616	0.995073891625616	0.995073891625616	0.995073891625616	0.995073891625616	0.995073891625616	0.995073891625616	0.995073891625616	0.995073891625616	0.995073891625616	0.995073891625616	0.995073891625616	0.995073891625616	0.980295566502463	0.995073891625616	0.995073891625616	0.985221674876847	0.995073891625616	0.995073891625616	0.995073891625616	0.995073891625616	0.995073891625616	0.995073891625616	0.995073891625616	0.995073891625616	0.975369458128079	0.995073891625616	0.995073891625616	0	0.931034482758621	0.995073891625616
Euplokamis_dunlapae	1	0.714285714285714	1	1	1	0.995073891625616	1	1	0.990147783251232	1	1	1	1	1	0.793103448275862	1	1	0.940886699507389	1	1	0.354679802955665	1	1	0.990147783251232	1	1	0	0.995073891625616		0.980295566502463	1	1	1	1	1	1	1	1	1	0.950738916256158	0.891625615763547	1	1	1	1	1	1	1	1	1	0.995073891625616	0.995073891625616	1	1	1	1	1	1	1	0.985221674876847	1	1	0.990147783251232	1	1	1	1	1	1	1	1	0.980295566502463	1	1	0	0.935960591133005	1
Gorgonia_ventalina	0.980295566502463	0.694581280788177	0.980295566502463	0.980295566502463	0.980295566502463	0.975369458128079	0.980295566502463	0.980295566502463	0.975369458128079	0.980295566502463	0.980295566502463	0.980295566502463	0.980295566502463	0.980295566502463	0.778325123152709	0.980295566502463	0.980295566502463	0.921182266009852	0.980295566502463	0.980295566502463	0.349753694581281	0.980295566502463	0.980295566502463	0.975369458128079	0.980295566502463	0.980295566502463	0	0.975369458128079	0.980295566502463		0.980295566502463	0.980295566502463	0.980295566502463	0.980295566502463	0.980295566502463	0.980295566502463	0.980295566502463	0.980295566502463	0.980295566502463	0.931034482758621	0.876847290640394	0.980295566502463	0.980295566502463	0.980295566502463	0.980295566502463	0.980295566502463	0.980295566502463	0.980295566502463	0.980295566502463	0.980295566502463	0.975369458128079	0.975369458128079	0.980295566502463	0.980295566502463	0.980295566502463	0.980295566502463	0.980295566502463	0.980295566502463	0.980295566502463	0.970443349753695	0.980295566502463	0.980295566502463	0.970443349753695	0.980295566502463	0.980295566502463	0.980295566502463	0.980295566502463	0.980295566502463	0.980295566502463	0.980295566502463	0.980295566502463	0.96551724137931	0.980295566502463	0.980295566502463	0	0.921182266009852	0.980295566502463
Helobdella_robusta	1	0.714285714285714	1	1	1	0.995073891625616	1	1	0.990147783251232	1	1	1	1	1	0.793103448275862	1	1	0.940886699507389	1	1	0.354679802955665	1	1	0.990147783251232	1	1	0	0.995073891625616	1	0.980295566502463		1	1	1	1	1	1	1	1	0.950738916256158	0.891625615763547	1	1	1	1	1	1	1	1	1	0.995073891625616	0.995073891625616	1	1	1	1	1	1	1	0.985221674876847	1	1	0.990147783251232	1	1	1	1	1	1	1	1	0.980295566502463	1	1	0	0.935960591133005	1
Homo_sapiens	1	0.714285714285714	1	1	1	0.995073891625616	1	1	0.990147783251232	1	1	1	1	1	0.793103448275862	1	1	0.940886699507389	1	1	0.354679802955665	1	1	0.990147783251232	1	1	0	0.995073891625616	1	0.980295566502463	1		1	1	1	1	1	1	1	0.950738916256158	0.891625615763547	1	1	1	1	1	1	1	1	1	0.995073891625616	0.995073891625616	1	1	1	1	1	1	1	0.985221674876847	1	1	0.990147783251232	1	1	1	1	1	1	1	1	0.980295566502463	1	1	0	0.935960591133005	1
Hormathia_digitata	1	0.714285714285714	1	1	1	0.995073891625616	1	1	0.990147783251232	1	1	1	1	1	0.793103448275862	1	1	0.940886699507389	1	1	0.354679802955665	1	1	0.990147783251232	1	1	0	0.995073891625616	1	0.980295566502463	1	1		1	1	1	1	1	1	0.950738916256158	0.891625615763547	1	1	1	1	1	1	1	1	1	0.995073891625616	0.995073891625616	1	1	1	1	1	1	1	0.985221674876847	1	1	0.990147783251232	1	1	1	1	1	1	1	1	0.980295566502463	1	1	0	0.935960591133005	1
Hydra_magnipapillata	1	0.714285714285714	1	1	1	0.995073891625616	1	1	0.990147783251232	1	1	1	1	1	0.793103448275862	1	1	0.940886699507389	1	1	0.354679802955665	1	1	0.990147783251232	1	1	0	0.995073891625616	1	0.980295566502463	1	1	1		1	1	1	1	1	0.950738916256158	0.891625615763547	1	1	1	1	1	1	1	1	1	0.995073891625616	0.995073891625616	1	1	1	1	1	1	1	0.985221674876847	1	1	0.990147783251232	1	1	1	1	1	1	1	1	0.980295566502463	1	1	0	0.935960591133005	1
