	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Acanthoeca_like_sp_10tr		0	0	0	0	0	0.0075187969924812	0	0	0	0	0.0075187969924812	0	0.0075187969924812	0	0	0	0	0	0	0.0075187969924812	0	0	0	0.0075187969924812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0075187969924812	0	0	0	0.0075187969924812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0075187969924812	0	0	0	0	0	0.0075187969924812	0	0	0.0075187969924812	0	0
Acropora_cervicornis	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aiptasia_pallida	0	0		0	0	0	0.0018796992481203	0	0	0	0	0.0018796992481203	0	0	0	0	0	0	0	0	0.0018796992481203	0	0	0.0018796992481203	0.0018796992481203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0018796992481203	0.0018796992481203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0018796992481203	0	0	0	0	0	0	0.0018796992481203	0	0	0.0018796992481203	0.0018796992481203	0
Amoebidium	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amphimedon_queenslandica	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aphrocallistes_vastus	0	0	0	0	0		0	0	0	0	0	0.0018796992481203	0	0	0	0	0	0	0	0	0.0018796992481203	0	0	0.0018796992481203	0.0018796992481203	0	0	0	0.0018796992481203	0	0	0	0	0	0	0	0	0	0	0.0018796992481203	0.0018796992481203	0	0	0.0018796992481203	0	0	0	0	0	0	0	0	0	0	0.0018796992481203	0	0	0	0	0	0	0	0.0018796992481203	0	0	0	0	0	0	0	0	0.0018796992481203	0.0018796992481203	0	0.0018796992481203	0.0018796992481203	0
Aurelia_aurita	0.0075187969924812	0	0.0018796992481203	0	0	0		0.0018796992481203	0.135338345864662	0	0	0.657894736842105	0	0.0657894736842105	0.231203007518797	0	0	0	0	0	0.657894736842105	0	0	0.0996240601503759	0.657894736842105	0	0.0451127819548872	0.133458646616541	0.274436090225564	0	0	0	0.0639097744360902	0	0	0	0	0	0	0.657894736842105	0.37593984962406	0.0018796992481203	0	0.334586466165414	0	0	0	0	0	0	0.018796992481203	0	0	0	0.0507518796992481	0	0.0018796992481203	0.0451127819548872	0	0	0.0488721804511278	0	0	0	0.109022556390977	0.0075187969924812	0.142857142857143	0.0507518796992481	0	0	0	0.657894736842105	0.0620300751879699	0	0.657894736842105	0.573308270676692	0.0018796992481203
Beroe_abyssicola	0	0	0	0	0	0	0.0018796992481203		0	0	0	0.0018796992481203	0	0	0	0	0	0	0	0	0.0018796992481203	0	0	0.0018796992481203	0.0018796992481203	0	0	0	0.0018796992481203	0	0	0	0	0	0	0	0	0	0	0.0018796992481203	0.0018796992481203	0.0018796992481203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0018796992481203	0	0	0	0	0	0	0	0.0018796992481203	0	0	0	0	0	0	0.0018796992481203	0	0	0.0018796992481203	0.0018796992481203	0.0018796992481203
Bolocera_tuediae	0	0	0	0	0	0	0.135338345864662	0		0	0	0.244360902255639	0	0.0451127819548872	0.0037593984962406	0	0	0	0	0	0.244360902255639	0	0	0.0451127819548872	0.244360902255639	0	0.0451127819548872	0	0.18796992481203	0	0	0	0.0958646616541353	0	0	0	0	0	0	0.244360902255639	0.18796992481203	0	0	0.199248120300752	0	0	0	0	0	0	0	0	0	0	0.0451127819548872	0	0	0.0601503759398496	0	0	0.0507518796992481	0	0	0	0.0451127819548872	0	0.129699248120301	0.0451127819548872	0	0	0	0.244360902255639	0.0432330827067669	0	0.244360902255639	0.244360902255639	0
Botryllus_schlosseri	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Branchiostoma_floridae	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Buddenbrockia_plumatellae	0.0075187969924812	0	0.0018796992481203	0	0	0.0018796992481203	0.657894736842105	0.0018796992481203	0.244360902255639	0	0		0	0.0657894736842105	0.231203007518797	0	0	0	0	0	1	0	0	0.135338345864662	1	0	0.0451127819548872	0.135338345864662	0.610902255639098	0	0	0	0.118421052631579	0	0	0	0	0	0	1	0.620300751879699	0.0018796992481203	0	0.609022556390977	0	0	0	0	0	0	0.018796992481203	0	0	0	0.093984962406015	0	0.0018796992481203	0.0676691729323308	0	0	0.197368421052632	0	0.0488721804511278	0	0.109022556390977	0.0075187969924812	0.236842105263158	0.0620300751879699	0	0	0	1	0.12593984962406	0	1	0.915413533834586	0.0018796992481203
Capitella_teleta	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Capsaspora_owczarzaki_atcc30864	0.0075187969924812	0	0	0	0	0	0.0657894736842105	0	0.0451127819548872	0	0	0.0657894736842105	0		0.0037593984962406	0	0	0	0	0	0.0657894736842105	0	0	0.0451127819548872	0.0657894736842105	0	0.0451127819548872	0	0.0451127819548872	0	0	0	0	0	0	0	0	0	0	0.0657894736842105	0.0451127819548872	0	0	0.0206766917293233	0	0	0	0	0	0	0	0	0	0	0.0451127819548872	0	0	0	0	0	0	0	0	0	0.0451127819548872	0.0075187969924812	0	0.0451127819548872	0	0	0	0.0657894736842105	0	0	0.0657894736842105	0.0469924812030075	0
Chondrilla_nucula	0	0	0	0	0	0	0.231203007518797	0	0.0037593984962406	0	0	0.231203007518797	0	0.0037593984962406		0	0	0	0	0	0.231203007518797	0	0	0.0037593984962406	0.231203007518797	0	0.0037593984962406	0.12218045112782	0.116541353383459	0	0	0	0	0	0	0	0	0	0	0.231203007518797	0.140977443609023	0	0	0.0319548872180451	0	0	0	0	0	0	0.018796992481203	0	0	0	0.0037593984962406	0	0	0.0075187969924812	0	0	0	0	0	0	0.0037593984962406	0	0.0319548872180451	0.0037593984962406	0	0	0	0.231203007518797	0.0075187969924812	0	0.231203007518797	0.231203007518797	0
Ciona_intestinalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clytia_hemisphaerica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corticium_candelabrum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Craspedacusta_sowerbyi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crassostrea_gigas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyanea_capillata	0.0075187969924812	0	0.0018796992481203	0	0	0.0018796992481203	0.657894736842105	0.0018796992481203	0.244360902255639	0	0	1	0	0.0657894736842105	0.231203007518797	0	0	0	0	0		0	0	0.135338345864662	1	0	0.0451127819548872	0.135338345864662	0.610902255639098	0	0	0	0.118421052631579	0	0	0	0	0	0	1	0.620300751879699	0.0018796992481203	0	0.609022556390977	0	0	0	0	0	0	0.018796992481203	0	0	0	0.093984962406015	0	0.0018796992481203	0.0676691729323308	0	0	0.197368421052632	0	0.0488721804511278	0	0.109022556390977	0.0075187969924812	0.236842105263158	0.0620300751879699	0	0	0	1	0.12593984962406	0	1	0.915413533834586	0.0018796992481203
Daphnia_pulex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ectopleura_larynx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Edwardsiella_lineata	0	0	0.0018796992481203	0	0	0.0018796992481203	0.0996240601503759	0.0018796992481203	0.0451127819548872	0	0	0.135338345864662	0	0.0451127819548872	0.0037593984962406	0	0	0	0	0	0.135338345864662	0	0		0.135338345864662	0	0.0451127819548872	0.0037593984962406	0.107142857142857	0	0	0	0	0	0	0	0	0	0	0.135338345864662	0.135338345864662	0.0018796992481203	0	0.0357142857142857	0	0	0	0	0	0	0	0	0	0	0.0808270676691729	0	0.0018796992481203	0	0	0	0	0	0.0357142857142857	0	0.0996240601503759	0	0	0.0451127819548872	0	0	0	0.135338345864662	0.0432330827067669	0	0.135338345864662	0.135338345864662	0.0018796992481203
Enteromyxum_leei	0.0075187969924812	0	0.0018796992481203	0	0	0.0018796992481203	0.657894736842105	0.0018796992481203	0.244360902255639	0	0	1	0	0.0657894736842105	0.231203007518797	0	0	0	0	0	1	0	0	0.135338345864662		0	0.0451127819548872	0.135338345864662	0.610902255639098	0	0	0	0.118421052631579	0	0	0	0	0	0	1	0.620300751879699	0.0018796992481203	0	0.609022556390977	0	0	0	0	0	0	0.018796992481203	0	0	0	0.093984962406015	0	0.0018796992481203	0.0676691729323308	0	0	0.197368421052632	0	0.0488721804511278	0	0.109022556390977	0.0075187969924812	0.236842105263158	0.0620300751879699	0	0	0	1	0.12593984962406	0	1	0.915413533834586	0.0018796992481203
