	Abeoforma_whisleri	Acanthoeca_sp_10tr	Acanthoeca_spectabilis_VA_02	Aiptasia_pallida	Alatina_alata	Amoebidium_parasiticum_JAP72	Amphimedon_queenslandica	Antipathes_caribbeana	Aphrocallistes_vastus	Aplysia_californica	Atolla_vanhoeffeni	Aurelia_aurita	Beroe_abyssicola	Beroe_sp	Bolinopsis_infundibulum	Bolocera_tuedia	Branchiostoma_floridae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Cestum_veneris	Choanoeca_perplexa_11	Chondrilla_nucula	Clathrina_coriacea	Clytia_hemisphaerica	Codosiga_hollandica_17	Coeloplana_species	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Creolimax_fragrantissima	Daphnia_pulex	Diaphanoeca_grandis_RI_01	Didymoeca_costata_10	Dryodora_glandiformis	Edwardsiella_lineata	Ephydatia_muelleri	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Grantia_compressa	Helobdella_robusta	Homo_sapiens	Hormiphora_californensis	Hyalonema_populiferum	Hydra_magnipapillata	Hydractinia_polyclina	Ircinia_fasciculata	Ixodes_scapularis	Kirkpatrickia_variolosa	Lampea_pancerina	Latrunculia_apicalis	Leuconia_nivea	Leucosolenia_complicata	Liriope_tetraphylla	Lucernariopsis_campanulata	Ministeria_vibrans	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Montastraea_faveolata	Mycale_phyllophila	Mylnosiga_fluctuans_19	Nanomia_bijuga	Nematostella_vectensis	Oscarella_carmela	Oscarella_species	Pelagia_noctiluca	Pennatula_rubra	Periphylla_periphylla	Petrosia_ficiformis	Pirum_gemmata	Plakina_jani	Pleraplysilla_spinifera	Pleurobrachia_species	Plumapathes_pennacea	Porites_australiensis	Rossella_fibulata	Saccoglossus_kowalevskii	Salpingoeca_dolichothecata_16	Salpingoeca_helianthica_18	Salpingoeca_infusionum_12	Salpingoeca_macrocollata_06	Salpingoeca_punica_03	Salpingoeca_qvevrii_09	Salpingoeca_roanoka_13	Salpingoeca_rosetta	Salpingoeca_urceolata_04	Sphaeroforma_arctica_JP610	Spongilla_lacustris	Stephanoeca_diplocostata_AUFR	Stomolophus_meleagris	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Sympagella_nux	Tribolium_castaneum	Trichoplax_adhaerens	Vallicula_multiformis
Abeoforma_whisleri		0.22962962962963	0.222222222222222	0.0148148148148148	1	1	1	0	1	0	1	1	0.0592592592592593	1	0.207407407407407	0.00740740740740741	0	0.00740740740740741	1	0.133333333333333	0.325925925925926	1	1	1	0.274074074074074	0.162962962962963	0.00740740740740741	1	0.0592592592592593	1	1	0.0888888888888889	0.192592592592593	0.0740740740740741	0.437037037037037	1	0.392592592592593	0.622222222222222	0.0962962962962963	1	1	0.0592592592592593	0.140740740740741	0.540740740740741	1	1	0.548148148148148	1	1	0.111111111111111	1	1	1	1	1	1	0.0222222222222222	1	0	1	1	1	0	1	1	1	1	1	1	1	0.00740740740740741	0.0962962962962963	0.0592592592592593	0	1	1	0.0592592592592593	0.133333333333333	0	1	0.222222222222222	0.348148148148148	0.17037037037037	0.185185185185185	0.525925925925926	0.259259259259259	1	1	0.0888888888888889	1	0.666666666666667	0.125925925925926	1	0.103703703703704	0.274074074074074	0.0962962962962963	0.2
Acanthoeca_sp_10tr	0.22962962962963		0.148148148148148	0	0.22962962962963	0.22962962962963	0.22962962962963	0	0.22962962962963	0	0.22962962962963	0.22962962962963	0.00740740740740741	0.22962962962963	0.0740740740740741	0	0	0.00740740740740741	0.22962962962963	0.0814814814814815	0.125925925925926	0.22962962962963	0.22962962962963	0.22962962962963	0.103703703703704	0.0592592592592593	0.00740740740740741	0.22962962962963	0.00740740740740741	0.22962962962963	0.22962962962963	0.00740740740740741	0.0222222222222222	0.00740740740740741	0.0814814814814815	0.22962962962963	0.222222222222222	0.0888888888888889	0.00740740740740741	0.22962962962963	0.22962962962963	0.00740740740740741	0.00740740740740741	0.0814814814814815	0.22962962962963	0.22962962962963	0.0814814814814815	0.22962962962963	0.22962962962963	0.0222222222222222	0.22962962962963	0.22962962962963	0.22962962962963	0.22962962962963	0.22962962962963	0.22962962962963	0.0222222222222222	0.22962962962963	0	0.22962962962963	0.22962962962963	0.22962962962963	0	0.22962962962963	0.22962962962963	0.22962962962963	0.22962962962963	0.22962962962963	0.22962962962963	0.22962962962963	0.00740740740740741	0.00740740740740741	0.00740740740740741	0	0.22962962962963	0.22962962962963	0.00740740740740741	0.0518518518518519	0	0.22962962962963	0.0888888888888889	0.140740740740741	0.0814814814814815	0.0518518518518519	0.155555555555556	0.133333333333333	0.22962962962963	0.22962962962963	0.0740740740740741	0.22962962962963	0.0888888888888889	0.0444444444444444	0.22962962962963	0.00740740740740741	0.125925925925926	0.0592592592592593	0.0296296296296296
Acanthoeca_spectabilis_VA_02	0.222222222222222	0.148148148148148		0	0.222222222222222	0.222222222222222	0.222222222222222	0	0.222222222222222	0	0.222222222222222	0.222222222222222	0.00740740740740741	0.222222222222222	0.0740740740740741	0	0	0	0.222222222222222	0.0814814814814815	0.140740740740741	0.222222222222222	0.222222222222222	0.222222222222222	0.155555555555556	0.0592592592592593	0.00740740740740741	0.222222222222222	0.00740740740740741	0.222222222222222	0.222222222222222	0.0148148148148148	0.0740740740740741	0.00740740740740741	0.148148148148148	0.222222222222222	0.148148148148148	0.155555555555556	0.0148148148148148	0.222222222222222	0.222222222222222	0	0.0592592592592593	0.148148148148148	0.222222222222222	0.222222222222222	0.148148148148148	0.222222222222222	0.222222222222222	0.0222222222222222	0.222222222222222	0.222222222222222	0.222222222222222	0.222222222222222	0.222222222222222	0.222222222222222	0.0222222222222222	0.222222222222222	0	0.222222222222222	0.222222222222222	0.222222222222222	0	0.222222222222222	0.222222222222222	0.222222222222222	0.222222222222222	0.222222222222222	0.222222222222222	0.222222222222222	0.00740740740740741	0.0222222222222222	0.00740740740740741	0	0.222222222222222	0.222222222222222	0.00740740740740741	0.0592592592592593	0	0.222222222222222	0.0666666666666667	0.125925925925926	0.0148148148148148	0.0592592592592593	0.222222222222222	0.0814814814814815	0.222222222222222	0.222222222222222	0.0888888888888889	0.222222222222222	0.155555555555556	0.0666666666666667	0.222222222222222	0.00740740740740741	0.0592592592592593	0.00740740740740741	0.037037037037037
Aiptasia_pallida	0.0148148148148148	0	0		0.0148148148148148	0.0148148148148148	0.0148148148148148	0	0.0148148148148148	0	0.0148148148148148	0.0148148148148148	0.00740740740740741	0.0148148148148148	0.00740740740740741	0.00740740740740741	0	0	0.0148148148148148	0	0.00740740740740741	0.0148148148148148	0.0148148148148148	0.0148148148148148	0.00740740740740741	0.00740740740740741	0	0.0148148148148148	0	0.0148148148148148	0.0148148148148148	0.0148148148148148	0	0.00740740740740741	0.00740740740740741	0.0148148148148148	0.00740740740740741	0.0148148148148148	0.00740740740740741	0.0148148148148148	0.0148148148148148	0.00740740740740741	0.00740740740740741	0.00740740740740741	0.0148148148148148	0.0148148148148148	0.00740740740740741	0.0148148148148148	0.0148148148148148	0.00740740740740741	0.0148148148148148	0.0148148148148148	0.0148148148148148	0.0148148148148148	0.0148148148148148	0.0148148148148148	0	0.0148148148148148	0	0.0148148148148148	0.0148148148148148	0.0148148148148148	0	0.0148148148148148	0.0148148148148148	0.0148148148148148	0.0148148148148148	0.0148148148148148	0.0148148148148148	0.0148148148148148	0	0.00740740740740741	0.00740740740740741	0	0.0148148148148148	0.0148148148148148	0.00740740740740741	0.00740740740740741	0	0.0148148148148148	0.00740740740740741	0	0.00740740740740741	0.00740740740740741	0.00740740740740741	0.00740740740740741	0.0148148148148148	0.0148148148148148	0	0.0148148148148148	0.0148148148148148	0.00740740740740741	0.0148148148148148	0.00740740740740741	0.0148148148148148	0.00740740740740741	0.0148148148148148
Alatina_alata	1	0.22962962962963	0.222222222222222	0.0148148148148148		1	1	0	1	0	1	1	0.0592592592592593	1	0.207407407407407	0.00740740740740741	0	0.00740740740740741	1	0.133333333333333	0.325925925925926	1	1	1	0.274074074074074	0.162962962962963	0.00740740740740741	1	0.0592592592592593	1	1	0.0888888888888889	0.192592592592593	0.0740740740740741	0.437037037037037	1	0.392592592592593	0.622222222222222	0.0962962962962963	1	1	0.0592592592592593	0.140740740740741	0.540740740740741	1	1	0.548148148148148	1	1	0.111111111111111	1	1	1	1	1	1	0.0222222222222222	1	0	1	1	1	0	1	1	1	1	1	1	1	0.00740740740740741	0.0962962962962963	0.0592592592592593	0	1	1	0.0592592592592593	0.133333333333333	0	1	0.222222222222222	0.348148148148148	0.17037037037037	0.185185185185185	0.525925925925926	0.259259259259259	1	1	0.0888888888888889	1	0.666666666666667	0.125925925925926	1	0.103703703703704	0.274074074074074	0.0962962962962963	0.2
Amoebidium_parasiticum_JAP72	1	0.22962962962963	0.222222222222222	0.0148148148148148	1		1	0	1	0	1	1	0.0592592592592593	1	0.207407407407407	0.00740740740740741	0	0.00740740740740741	1	0.133333333333333	0.325925925925926	1	1	1	0.274074074074074	0.162962962962963	0.00740740740740741	1	0.0592592592592593	1	1	0.0888888888888889	0.192592592592593	0.0740740740740741	0.437037037037037	1	0.392592592592593	0.622222222222222	0.0962962962962963	1	1	0.0592592592592593	0.140740740740741	0.540740740740741	1	1	0.548148148148148	1	1	0.111111111111111	1	1	1	1	1	1	0.0222222222222222	1	0	1	1	1	0	1	1	1	1	1	1	1	0.00740740740740741	0.0962962962962963	0.0592592592592593	0	1	1	0.0592592592592593	0.133333333333333	0	1	0.222222222222222	0.348148148148148	0.17037037037037	0.185185185185185	0.525925925925926	0.259259259259259	1	1	0.0888888888888889	1	0.666666666666667	0.125925925925926	1	0.103703703703704	0.274074074074074	0.0962962962962963	0.2
Amphimedon_queenslandica	1	0.22962962962963	0.222222222222222	0.0148148148148148	1	1		0	1	0	1	1	0.0592592592592593	1	0.207407407407407	0.00740740740740741	0	0.00740740740740741	1	0.133333333333333	0.325925925925926	1	1	1	0.274074074074074	0.162962962962963	0.00740740740740741	1	0.0592592592592593	1	1	0.0888888888888889	0.192592592592593	0.0740740740740741	0.437037037037037	1	0.392592592592593	0.622222222222222	0.0962962962962963	1	1	0.0592592592592593	0.140740740740741	0.540740740740741	1	1	0.548148148148148	1	1	0.111111111111111	1	1	1	1	1	1	0.0222222222222222	1	0	1	1	1	0	1	1	1	1	1	1	1	0.00740740740740741	0.0962962962962963	0.0592592592592593	0	1	1	0.0592592592592593	0.133333333333333	0	1	0.222222222222222	0.348148148148148	0.17037037037037	0.185185185185185	0.525925925925926	0.259259259259259	1	1	0.0888888888888889	1	0.666666666666667	0.125925925925926	1	0.103703703703704	0.274074074074074	0.0962962962962963	0.2
Antipathes_caribbeana	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aphrocallistes_vastus	1	0.22962962962963	0.222222222222222	0.0148148148148148	1	1	1	0		0	1	1	0.0592592592592593	1	0.207407407407407	0.00740740740740741	0	0.00740740740740741	1	0.133333333333333	0.325925925925926	1	1	1	0.274074074074074	0.162962962962963	0.00740740740740741	1	0.0592592592592593	1	1	0.0888888888888889	0.192592592592593	0.0740740740740741	0.437037037037037	1	0.392592592592593	0.622222222222222	0.0962962962962963	1	1	0.0592592592592593	0.140740740740741	0.540740740740741	1	1	0.548148148148148	1	1	0.111111111111111	1	1	1	1	1	1	0.0222222222222222	1	0	1	1	1	0	1	1	1	1	1	1	1	0.00740740740740741	0.0962962962962963	0.0592592592592593	0	1	1	0.0592592592592593	0.133333333333333	0	1	0.222222222222222	0.348148148148148	0.17037037037037	0.185185185185185	0.525925925925926	0.259259259259259	1	1	0.0888888888888889	1	0.666666666666667	0.125925925925926	1	0.103703703703704	0.274074074074074	0.0962962962962963	0.2
Aplysia_californica	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
