	Abeoforma_whisleri	Acanthoeca_sp_10tr	Acanthoeca_spectabilis_VA_02	Aiptasia_pallida	Alatina_alata	Amoebidium_parasiticum_JAP72	Amphimedon_queenslandica	Antipathes_caribbeana	Aphrocallistes_vastus	Aplysia_californica	Atolla_vanhoeffeni	Aurelia_aurita	Beroe_abyssicola	Beroe_sp	Bolinopsis_infundibulum	Bolocera_tuedia	Branchiostoma_floridae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Cestum_veneris	Choanoeca_perplexa_11	Chondrilla_nucula	Clathrina_coriacea	Clytia_hemisphaerica	Codosiga_hollandica_17	Coeloplana_species	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Creolimax_fragrantissima	Daphnia_pulex	Diaphanoeca_grandis_RI_01	Didymoeca_costata_10	Dryodora_glandiformis	Edwardsiella_lineata	Ephydatia_muelleri	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Grantia_compressa	Helobdella_robusta	Homo_sapiens	Hormiphora_californensis	Hyalonema_populiferum	Hydra_magnipapillata	Hydractinia_polyclina	Ircinia_fasciculata	Ixodes_scapularis	Kirkpatrickia_variolosa	Lampea_pancerina	Latrunculia_apicalis	Leuconia_nivea	Leucosolenia_complicata	Liriope_tetraphylla	Lucernariopsis_campanulata	Ministeria_vibrans	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Montastraea_faveolata	Mycale_phyllophila	Mylnosiga_fluctuans_19	Nanomia_bijuga	Nematostella_vectensis	Oscarella_carmela	Oscarella_species	Pelagia_noctiluca	Pennatula_rubra	Periphylla_periphylla	Petrosia_ficiformis	Pirum_gemmata	Plakina_jani	Pleraplysilla_spinifera	Pleurobrachia_species	Plumapathes_pennacea	Porites_australiensis	Rossella_fibulata	Saccoglossus_kowalevskii	Salpingoeca_dolichothecata_16	Salpingoeca_helianthica_18	Salpingoeca_infusionum_12	Salpingoeca_macrocollata_06	Salpingoeca_punica_03	Salpingoeca_qvevrii_09	Salpingoeca_roanoka_13	Salpingoeca_rosetta	Salpingoeca_urceolata_04	Sphaeroforma_arctica_JP610	Spongilla_lacustris	Stephanoeca_diplocostata_AUFR	Stomolophus_meleagris	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Sympagella_nux	Tribolium_castaneum	Trichoplax_adhaerens	Vallicula_multiformis
Abeoforma_whisleri		0.0135135135135135	0.0202702702702703	0	0.00675675675675676	1	0	0.121621621621622	0.00675675675675676	0.00675675675675676	0.121621621621622	0	0.00675675675675676	1	0.00675675675675676	0	0.00675675675675676	0	0	0.418918918918919	0.00675675675675676	1	0	0	0	0.00675675675675676	1	0	0.22972972972973	1	0	0.0472972972972973	1	0.00675675675675676	0	1	0	0	0	0	0	0	0	0.290540540540541	0	0	0.175675675675676	0.00675675675675676	0	0	0	0	0	0.0743243243243243	0	0	0	0.189189189189189	0	0	0.00675675675675676	0	0.0878378378378378	1	0	0	0.0675675675675676	0	0.00675675675675676	1	1	0	0	0.0675675675675676	1	0	0.00675675675675676	0	0.0135135135135135	0	0.00675675675675676	0	0.00675675675675676	0.0337837837837838	0	0	1	1	0.00675675675675676	0	0.216216216216216	0	0.533783783783784	0.00675675675675676	0	0	0.00675675675675676
Acanthoeca_sp_10tr	0.0135135135135135		0.0135135135135135	0	0	0.0135135135135135	0	0	0	0	0	0	0	0.0135135135135135	0	0	0	0	0	0.0135135135135135	0	0.0135135135135135	0	0	0	0	0.0135135135135135	0	0.0135135135135135	0.0135135135135135	0	0	0.0135135135135135	0	0	0.0135135135135135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0135135135135135	0	0	0	0	0	0.0135135135135135	0.0135135135135135	0	0	0	0.0135135135135135	0	0	0	0	0	0	0	0	0	0	0	0.0135135135135135	0.0135135135135135	0	0	0.0135135135135135	0	0.0135135135135135	0	0	0	0
Acanthoeca_spectabilis_VA_02	0.0202702702702703	0.0135135135135135		0	0.00675675675675676	0.0202702702702703	0	0.00675675675675676	0.00675675675675676	0.00675675675675676	0.00675675675675676	0	0.00675675675675676	0.0202702702702703	0.00675675675675676	0	0.00675675675675676	0	0	0.0202702702702703	0.00675675675675676	0.0202702702702703	0	0	0	0.00675675675675676	0.0202702702702703	0	0.0202702702702703	0.0202702702702703	0	0.00675675675675676	0.0202702702702703	0.00675675675675676	0	0.0202702702702703	0	0	0	0	0	0	0	0.00675675675675676	0	0	0.00675675675675676	0.00675675675675676	0	0	0	0	0	0.00675675675675676	0	0	0	0.00675675675675676	0	0	0.00675675675675676	0	0	0.0202702702702703	0	0	0.00675675675675676	0	0	0.0202702702702703	0.0202702702702703	0	0	0.00675675675675676	0.0202702702702703	0	0.00675675675675676	0	0.00675675675675676	0	0.00675675675675676	0	0.00675675675675676	0.00675675675675676	0	0	0.0202702702702703	0.0202702702702703	0.00675675675675676	0	0.0202702702702703	0	0.0135135135135135	0.00675675675675676	0	0	0.00675675675675676
Aiptasia_pallida	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alatina_alata	0.00675675675675676	0	0.00675675675675676	0		0.00675675675675676	0	0.00675675675675676	0.00675675675675676	0.00675675675675676	0.00675675675675676	0	0.00675675675675676	0.00675675675675676	0.00675675675675676	0	0.00675675675675676	0	0	0.00675675675675676	0.00675675675675676	0.00675675675675676	0	0	0	0.00675675675675676	0.00675675675675676	0	0.00675675675675676	0.00675675675675676	0	0.00675675675675676	0.00675675675675676	0.00675675675675676	0	0.00675675675675676	0	0	0	0	0	0	0	0.00675675675675676	0	0	0.00675675675675676	0.00675675675675676	0	0	0	0	0	0.00675675675675676	0	0	0	0.00675675675675676	0	0	0.00675675675675676	0	0	0.00675675675675676	0	0	0.00675675675675676	0	0	0.00675675675675676	0.00675675675675676	0	0	0.00675675675675676	0.00675675675675676	0	0.00675675675675676	0	0.00675675675675676	0	0.00675675675675676	0	0.00675675675675676	0.00675675675675676	0	0	0.00675675675675676	0.00675675675675676	0.00675675675675676	0	0.00675675675675676	0	0	0.00675675675675676	0	0	0.00675675675675676
Amoebidium_parasiticum_JAP72	1	0.0135135135135135	0.0202702702702703	0	0.00675675675675676		0	0.121621621621622	0.00675675675675676	0.00675675675675676	0.121621621621622	0	0.00675675675675676	1	0.00675675675675676	0	0.00675675675675676	0	0	0.418918918918919	0.00675675675675676	1	0	0	0	0.00675675675675676	1	0	0.22972972972973	1	0	0.0472972972972973	1	0.00675675675675676	0	1	0	0	0	0	0	0	0	0.290540540540541	0	0	0.175675675675676	0.00675675675675676	0	0	0	0	0	0.0743243243243243	0	0	0	0.189189189189189	0	0	0.00675675675675676	0	0.0878378378378378	1	0	0	0.0675675675675676	0	0.00675675675675676	1	1	0	0	0.0675675675675676	1	0	0.00675675675675676	0	0.0135135135135135	0	0.00675675675675676	0	0.00675675675675676	0.0337837837837838	0	0	1	1	0.00675675675675676	0	0.216216216216216	0	0.533783783783784	0.00675675675675676	0	0	0.00675675675675676
Amphimedon_queenslandica	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Antipathes_caribbeana	0.121621621621622	0	0.00675675675675676	0	0.00675675675675676	0.121621621621622	0		0.00675675675675676	0.00675675675675676	0.121621621621622	0	0.00675675675675676	0.121621621621622	0.00675675675675676	0	0.00675675675675676	0	0	0.00675675675675676	0.00675675675675676	0.121621621621622	0	0	0	0.00675675675675676	0.121621621621622	0	0.00675675675675676	0.121621621621622	0	0.00675675675675676	0.121621621621622	0.00675675675675676	0	0.121621621621622	0	0	0	0	0	0	0	0.121621621621622	0	0	0.121621621621622	0.00675675675675676	0	0	0	0	0	0.0675675675675676	0	0	0	0.121621621621622	0	0	0.00675675675675676	0	0	0.121621621621622	0	0	0.0675675675675676	0	0	0.121621621621622	0.121621621621622	0	0	0.0675675675675676	0.121621621621622	0	0.00675675675675676	0	0.0135135135135135	0	0.00675675675675676	0	0.00675675675675676	0.0337837837837838	0	0	0.121621621621622	0.121621621621622	0.00675675675675676	0	0.00675675675675676	0	0	0.00675675675675676	0	0	0.00675675675675676
Aphrocallistes_vastus	0.00675675675675676	0	0.00675675675675676	0	0.00675675675675676	0.00675675675675676	0	0.00675675675675676		0.00675675675675676	0.00675675675675676	0	0.00675675675675676	0.00675675675675676	0.00675675675675676	0	0.00675675675675676	0	0	0.00675675675675676	0.00675675675675676	0.00675675675675676	0	0	0	0.00675675675675676	0.00675675675675676	0	0.00675675675675676	0.00675675675675676	0	0.00675675675675676	0.00675675675675676	0.00675675675675676	0	0.00675675675675676	0	0	0	0	0	0	0	0.00675675675675676	0	0	0.00675675675675676	0.00675675675675676	0	0	0	0	0	0.00675675675675676	0	0	0	0.00675675675675676	0	0	0.00675675675675676	0	0	0.00675675675675676	0	0	0.00675675675675676	0	0	0.00675675675675676	0.00675675675675676	0	0	0.00675675675675676	0.00675675675675676	0	0.00675675675675676	0	0.00675675675675676	0	0.00675675675675676	0	0.00675675675675676	0.00675675675675676	0	0	0.00675675675675676	0.00675675675675676	0.00675675675675676	0	0.00675675675675676	0	0	0.00675675675675676	0	0	0.00675675675675676
Aplysia_californica	0.00675675675675676	0	0.00675675675675676	0	0.00675675675675676	0.00675675675675676	0	0.00675675675675676	0.00675675675675676		0.00675675675675676	0	0.00675675675675676	0.00675675675675676	0.00675675675675676	0	0.00675675675675676	0	0	0.00675675675675676	0.00675675675675676	0.00675675675675676	0	0	0	0.00675675675675676	0.00675675675675676	0	0.00675675675675676	0.00675675675675676	0	0.00675675675675676	0.00675675675675676	0.00675675675675676	0	0.00675675675675676	0	0	0	0	0	0	0	0.00675675675675676	0	0	0.00675675675675676	0.00675675675675676	0	0	0	0	0	0.00675675675675676	0	0	0	0.00675675675675676	0	0	0.00675675675675676	0	0	0.00675675675675676	0	0	0.00675675675675676	0	0	0.00675675675675676	0.00675675675675676	0	0	0.00675675675675676	0.00675675675675676	0	0.00675675675675676	0	0.00675675675675676	0	0.00675675675675676	0	0.00675675675675676	0.00675675675675676	0	0	0.00675675675675676	0.00675675675675676	0.00675675675675676	0	0.00675675675675676	0	0	0.00675675675675676	0	0	0.00675675675675676
