	Abeoforma_whisleri	Acanthoeca_sp_10tr	Acanthoeca_spectabilis_VA_02	Aiptasia_pallida	Alatina_alata	Amoebidium_parasiticum_JAP72	Amphimedon_queenslandica	Antipathes_caribbeana	Aphrocallistes_vastus	Aplysia_californica	Atolla_vanhoeffeni	Aurelia_aurita	Beroe_abyssicola	Beroe_sp	Bolinopsis_infundibulum	Bolocera_tuedia	Branchiostoma_floridae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Cestum_veneris	Choanoeca_perplexa_11	Chondrilla_nucula	Clathrina_coriacea	Clytia_hemisphaerica	Codosiga_hollandica_17	Coeloplana_species	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Creolimax_fragrantissima	Daphnia_pulex	Diaphanoeca_grandis_RI_01	Didymoeca_costata_10	Dryodora_glandiformis	Edwardsiella_lineata	Ephydatia_muelleri	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Grantia_compressa	Helobdella_robusta	Homo_sapiens	Hormiphora_californensis	Hyalonema_populiferum	Hydra_magnipapillata	Hydractinia_polyclina	Ircinia_fasciculata	Ixodes_scapularis	Kirkpatrickia_variolosa	Lampea_pancerina	Latrunculia_apicalis	Leuconia_nivea	Leucosolenia_complicata	Liriope_tetraphylla	Lucernariopsis_campanulata	Ministeria_vibrans	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Montastraea_faveolata	Mycale_phyllophila	Mylnosiga_fluctuans_19	Nanomia_bijuga	Nematostella_vectensis	Oscarella_carmela	Oscarella_species	Pelagia_noctiluca	Pennatula_rubra	Periphylla_periphylla	Petrosia_ficiformis	Pirum_gemmata	Plakina_jani	Pleraplysilla_spinifera	Pleurobrachia_species	Plumapathes_pennacea	Porites_australiensis	Rossella_fibulata	Saccoglossus_kowalevskii	Salpingoeca_dolichothecata_16	Salpingoeca_helianthica_18	Salpingoeca_infusionum_12	Salpingoeca_macrocollata_06	Salpingoeca_punica_03	Salpingoeca_qvevrii_09	Salpingoeca_roanoka_13	Salpingoeca_rosetta	Salpingoeca_urceolata_04	Sphaeroforma_arctica_JP610	Spongilla_lacustris	Stephanoeca_diplocostata_AUFR	Stomolophus_meleagris	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Sympagella_nux	Tribolium_castaneum	Trichoplax_adhaerens	Vallicula_multiformis
Abeoforma_whisleri		1	1	0.00625	0	1	0.21875	0.275	0.1	0	0.275	0.03125	0.1	0.4	0.75	0.21875	0	0.0125	1	0.4	0.16875	1	0.2125	0.01875	0.24375	0	0.05	0.3625	0.00625	1	1	1	1	0.1	0.00625	0.29375	0.04375	1	0.00625	0.19375	0.0125	0.00625	0.48125	1	0	0.2125	0.1625	0.125	1	0.00625	0.26875	0.7875	1	0.425	0.01875	1	0.0375	1	0.00625	1	1	0.01875	0.0125	0.05	0	0.1	0.21875	1	1	1	0	0.08125	0.0125	0.00625	0.00625	0.0625	0	0.08125	0.01875	0.79375	0.025	1	0.1	0.275	0.20625	0.38125	1	0.125	1	0.00625	0	0.3125	0.64375	0.00625	1	0.00625	0.4375
Acanthoeca_sp_10tr	1		1	0.00625	0	1	0.21875	0.275	0.1	0	0.275	0.03125	0.1	0.4	0.75	0.21875	0	0.0125	1	0.4	0.16875	1	0.2125	0.01875	0.24375	0	0.05	0.3625	0.00625	1	1	1	1	0.1	0.00625	0.29375	0.04375	1	0.00625	0.19375	0.0125	0.00625	0.48125	1	0	0.2125	0.1625	0.125	1	0.00625	0.26875	0.7875	1	0.425	0.01875	1	0.0375	1	0.00625	1	1	0.01875	0.0125	0.05	0	0.1	0.21875	1	1	1	0	0.08125	0.0125	0.00625	0.00625	0.0625	0	0.08125	0.01875	0.79375	0.025	1	0.1	0.275	0.20625	0.38125	1	0.125	1	0.00625	0	0.3125	0.64375	0.00625	1	0.00625	0.4375
Acanthoeca_spectabilis_VA_02	1	1		0.00625	0	1	0.21875	0.275	0.1	0	0.275	0.03125	0.1	0.4	0.75	0.21875	0	0.0125	1	0.4	0.16875	1	0.2125	0.01875	0.24375	0	0.05	0.3625	0.00625	1	1	1	1	0.1	0.00625	0.29375	0.04375	1	0.00625	0.19375	0.0125	0.00625	0.48125	1	0	0.2125	0.1625	0.125	1	0.00625	0.26875	0.7875	1	0.425	0.01875	1	0.0375	1	0.00625	1	1	0.01875	0.0125	0.05	0	0.1	0.21875	1	1	1	0	0.08125	0.0125	0.00625	0.00625	0.0625	0	0.08125	0.01875	0.79375	0.025	1	0.1	0.275	0.20625	0.38125	1	0.125	1	0.00625	0	0.3125	0.64375	0.00625	1	0.00625	0.4375
Aiptasia_pallida	0.00625	0.00625	0.00625		0	0.00625	0	0.00625	0.00625	0	0.00625	0	0	0.00625	0.00625	0.00625	0	0.00625	0.00625	0.00625	0	0.00625	0	0	0	0	0	0.00625	0.00625	0.00625	0.00625	0.00625	0.00625	0	0.00625	0.00625	0.00625	0.00625	0	0.00625	0.00625	0.00625	0.00625	0.00625	0	0	0.00625	0.00625	0.00625	0.00625	0.00625	0.00625	0.00625	0	0	0.00625	0	0.00625	0.00625	0.00625	0.00625	0	0.00625	0.00625	0	0.00625	0.00625	0.00625	0.00625	0.00625	0	0.00625	0	0.00625	0.00625	0.00625	0	0.00625	0.00625	0.00625	0.00625	0.00625	0.00625	0.00625	0.00625	0	0.00625	0.00625	0.00625	0	0	0	0.00625	0.00625	0.00625	0.00625	0.00625
Alatina_alata	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amoebidium_parasiticum_JAP72	1	1	1	0.00625	0		0.21875	0.275	0.1	0	0.275	0.03125	0.1	0.4	0.75	0.21875	0	0.0125	1	0.4	0.16875	1	0.2125	0.01875	0.24375	0	0.05	0.3625	0.00625	1	1	1	1	0.1	0.00625	0.29375	0.04375	1	0.00625	0.19375	0.0125	0.00625	0.48125	1	0	0.2125	0.1625	0.125	1	0.00625	0.26875	0.7875	1	0.425	0.01875	1	0.0375	1	0.00625	1	1	0.01875	0.0125	0.05	0	0.1	0.21875	1	1	1	0	0.08125	0.0125	0.00625	0.00625	0.0625	0	0.08125	0.01875	0.79375	0.025	1	0.1	0.275	0.20625	0.38125	1	0.125	1	0.00625	0	0.3125	0.64375	0.00625	1	0.00625	0.4375
Amphimedon_queenslandica	0.21875	0.21875	0.21875	0	0	0.21875		0.2125	0.0125	0	0.21875	0.03125	0	0.2125	0.21875	0.2125	0	0	0.21875	0	0.01875	0.21875	0.2125	0.0125	0.00625	0	0.05	0.2125	0	0.21875	0.21875	0.21875	0.21875	0	0	0.2125	0	0.21875	0	0.08125	0	0	0.21875	0.21875	0	0.2125	0.00625	0.00625	0.21875	0	0.00625	0.00625	0.21875	0.21875	0.00625	0.21875	0	0.21875	0	0.21875	0.21875	0.0125	0	0.0375	0	0	0.2125	0.21875	0.21875	0.21875	0	0	0	0	0	0.05625	0	0.075	0.0125	0.0125	0	0.21875	0.0125	0.11875	0.09375	0.21875	0.21875	0	0.21875	0.00625	0	0.0125	0.21875	0	0.21875	0	0
Antipathes_caribbeana	0.275	0.275	0.275	0.00625	0	0.275	0.2125		0.0625	0	0.21875	0.03125	0	0.275	0.275	0.21875	0	0.00625	0.275	0.0625	0.01875	0.275	0.2125	0.0125	0.05625	0	0.05	0.275	0.00625	0.275	0.275	0.275	0.275	0	0.00625	0.2375	0.00625	0.275	0	0.14375	0.00625	0.00625	0.21875	0.275	0	0.2125	0.0625	0.00625	0.275	0.00625	0.00625	0.0625	0.275	0.2125	0.00625	0.275	0	0.275	0.00625	0.275	0.275	0.01875	0.00625	0.04375	0	0.00625	0.21875	0.275	0.275	0.275	0	0.00625	0	0.00625	0.00625	0.0625	0	0.08125	0.01875	0.06875	0.025	0.275	0.03125	0.13125	0.1	0.2375	0.275	0.00625	0.275	0.00625	0	0.0125	0.275	0.00625	0.275	0.00625	0.00625
Aphrocallistes_vastus	0.1	0.1	0.1	0.00625	0	0.1	0.0125	0.0625		0	0.01875	0.0125	0	0.0625	0.1	0.01875	0	0.00625	0.1	0.06875	0.03125	0.1	0.0125	0	0.08125	0	0.0125	0.0625	0.00625	0.1	0.1	0.1	0.1	0	0.00625	0.0375	0.04375	0.1	0	0.05	0.00625	0.00625	0.05625	0.1	0	0.0125	0.05	0.04375	0.1	0.00625	0.04375	0.0875	0.1	0.05	0.00625	0.1	0.01875	0.1	0.00625	0.1	0.1	0	0.00625	0.01875	0	0.00625	0.01875	0.1	0.1	0.1	0	0.00625	0	0.00625	0.00625	0.01875	0	0.00625	0.01875	0.09375	0.025	0.1	0.03125	0.03125	0.00625	0.03125	0.1	0.04375	0.1	0.00625	0	0.0375	0.1	0.00625	0.1	0.00625	0.04375
Aplysia_californica	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
