	Abylopsis_tetragona	Acanthoeca_sp	Acropora_digitifera	Agalma_elegans	Aiptasia_pallida	Amphimedon_queenslandica	Aphrocallistes_vastus	Beroe_abyssicola	Beroe_forskalii	Beroe_ovata	Beroe_sp_Antarctica	Beroe_sp_Queensland_Australia	Bolinopsis_ashleyi	Bolinopsis_infundibulum	Bolocera_tuediae	Callianira_Antarctica	Capitella_teleta	Cestum_veneris	Chondrilla_nucula	Cliona_varians	Coeloplana_astericola	Corticium_candelabrum	Craseo_lathetica	Crella_elegans	Ctenophora_sp_Florida_USA	Cydippida_sp	Cydippida_sp_Maryland_USA	Daphnia_pulex	Drosophila_melanogaster	Dryodora_glandiformis	Eunicella_verrucosa	Euplokamis_dunlapae	Eurhamphaea_vexilligera	Hemithris_psittacea	Homo_sapiens	Hormathia_digitata	Hormiphora_californica	Hormiphora_palmata	Hyalonema_populiferum	Hydra_oligactis	Hydra_viridissima	Hydra_vulgaris	Ircinia_fasciculata	Kirkpatrickia_variolosa	Latrunculia_apicalis	Lobata_sp_Punta_Arenas_Argentina	Lobatolampea_tetragona	Mertensiidae_sp_Antarctica	Mertensiidae_sp_Washington_USA	Mnemiopsis_leidyi	Monosiga_brevicolis	Monosiga_ovata	Mycale_phylophylla	Nanomia_bijuga	Nematostella_vectensis	Ocyropsis_crystallina	Ocyropsis_sp_Bimini_Bahamas	Ocyropsis_sp_Florida_USA	Oscarella_carmela	Periphyla_periphyla	Petrosia_ficiformis	Physalia_physalia	Pleurobrachia_bachei	Pleurobrachia_pileus	Pleurobrachia_sp_South_Carolina_USA	Pseudospongosorites_suberitoides	Rossella_fibulata	Salpingoeca_pyxidium	Salpingoeca_rosetta	Spongilla_lacustris	Strongylocentrotus_purpatus	Sycon_ciliatum	Sycon_coactum	Sympagella_nux	Trichoplax_adhaerens	Vallicula_sp
Abylopsis_tetragona		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acanthoeca_sp	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acropora_digitifera	0	0		0.207142857142857	0	0.107142857142857	0	1	1	1	1	1	0.292857142857143	1	0	1	0	1	0	0	1	0	0	0.157142857142857	1	1	0	0.342857142857143	0	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0.307142857142857	0	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1
Agalma_elegans	0	0	0.207142857142857		0	0	0	0.207142857142857	0.207142857142857	0.207142857142857	0.207142857142857	0.207142857142857	0.0428571428571429	0.207142857142857	0	0.207142857142857	0	0.207142857142857	0	0	0.207142857142857	0	0	0	0.207142857142857	0.207142857142857	0	0	0	0.207142857142857	0.207142857142857	0.207142857142857	0.207142857142857	0	0	0	0.207142857142857	0.207142857142857	0	0	0	0	0	0	0	0.207142857142857	0.207142857142857	0.207142857142857	0.207142857142857	0.207142857142857	0	0	0	0	0	0.207142857142857	0.207142857142857	0.207142857142857	0	0	0	0	0.207142857142857	0.207142857142857	0.207142857142857	0	0	0	0	0	0	0	0	0	0	0.207142857142857
Aiptasia_pallida	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amphimedon_queenslandica	0	0	0.107142857142857	0	0		0	0.107142857142857	0.107142857142857	0.107142857142857	0.107142857142857	0.107142857142857	0	0.107142857142857	0	0.107142857142857	0	0.107142857142857	0	0	0.107142857142857	0	0	0	0.107142857142857	0.107142857142857	0	0.0714285714285714	0	0.107142857142857	0.107142857142857	0.107142857142857	0.107142857142857	0	0	0	0.107142857142857	0.107142857142857	0	0	0	0	0	0	0	0.107142857142857	0.107142857142857	0.107142857142857	0.107142857142857	0.107142857142857	0	0	0	0.0357142857142857	0	0.107142857142857	0.107142857142857	0.107142857142857	0	0	0	0	0.107142857142857	0.107142857142857	0.107142857142857	0	0	0	0	0	0	0	0	0	0	0.107142857142857
Aphrocallistes_vastus	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Beroe_abyssicola	0	0	1	0.207142857142857	0	0.107142857142857	0		1	1	1	1	0.292857142857143	1	0	1	0	1	0	0	1	0	0	0.157142857142857	1	1	0	0.342857142857143	0	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0.307142857142857	0	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1
Beroe_forskalii	0	0	1	0.207142857142857	0	0.107142857142857	0	1		1	1	1	0.292857142857143	1	0	1	0	1	0	0	1	0	0	0.157142857142857	1	1	0	0.342857142857143	0	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0.307142857142857	0	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1
Beroe_ovata	0	0	1	0.207142857142857	0	0.107142857142857	0	1	1		1	1	0.292857142857143	1	0	1	0	1	0	0	1	0	0	0.157142857142857	1	1	0	0.342857142857143	0	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0.307142857142857	0	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1
