	Abeoforma_whisleri	Acanthoeca_sp_10tr	Acanthoeca_spectabilis_VA_02	Aiptasia_pallida	Alatina_alata	Amoebidium_parasiticum_JAP72	Amphimedon_queenslandica	Antipathes_caribbeana	Aphrocallistes_vastus	Aplysia_californica	Atolla_vanhoeffeni	Aurelia_aurita	Beroe_abyssicola	Beroe_sp	Bolinopsis_infundibulum	Bolocera_tuedia	Branchiostoma_floridae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Cestum_veneris	Choanoeca_perplexa_11	Chondrilla_nucula	Clathrina_coriacea	Clytia_hemisphaerica	Codosiga_hollandica_17	Coeloplana_species	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Creolimax_fragrantissima	Daphnia_pulex	Diaphanoeca_grandis_RI_01	Didymoeca_costata_10	Dryodora_glandiformis	Edwardsiella_lineata	Ephydatia_muelleri	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Grantia_compressa	Helobdella_robusta	Homo_sapiens	Hormiphora_californensis	Hyalonema_populiferum	Hydra_magnipapillata	Hydractinia_polyclina	Ircinia_fasciculata	Ixodes_scapularis	Kirkpatrickia_variolosa	Lampea_pancerina	Latrunculia_apicalis	Leuconia_nivea	Leucosolenia_complicata	Liriope_tetraphylla	Lucernariopsis_campanulata	Ministeria_vibrans	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Montastraea_faveolata	Mycale_phyllophila	Mylnosiga_fluctuans_19	Nanomia_bijuga	Nematostella_vectensis	Oscarella_carmela	Oscarella_species	Pelagia_noctiluca	Pennatula_rubra	Periphylla_periphylla	Petrosia_ficiformis	Pirum_gemmata	Plakina_jani	Pleraplysilla_spinifera	Pleurobrachia_species	Plumapathes_pennacea	Porites_australiensis	Rossella_fibulata	Saccoglossus_kowalevskii	Salpingoeca_dolichothecata_16	Salpingoeca_helianthica_18	Salpingoeca_infusionum_12	Salpingoeca_macrocollata_06	Salpingoeca_punica_03	Salpingoeca_qvevrii_09	Salpingoeca_roanoka_13	Salpingoeca_rosetta	Salpingoeca_urceolata_04	Sphaeroforma_arctica_JP610	Spongilla_lacustris	Stephanoeca_diplocostata_AUFR	Stomolophus_meleagris	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Sympagella_nux	Tribolium_castaneum	Trichoplax_adhaerens	Vallicula_multiformis
Abeoforma_whisleri		0.0804597701149425	0.0574712643678161	1	0.0114942528735632	0.344827586206897	0.379310344827586	0	0	0.0229885057471264	1	0.413793103448276	1	1	0.241379310344828	0	0.275862068965517	0	0.0459770114942529	1	0.0344827586206897	0.551724137931034	0	0	0.0689655172413793	0.0459770114942529	0	0	0	0.103448275862069	0	0	0	0.735632183908046	0	0	0	0.816091954022989	0.0919540229885057	1	0.0689655172413793	1	0.241379310344828	0.0114942528735632	0.0114942528735632	0.310344827586207	0.620689655172414	0	0.425287356321839	0	0	0	1	0.310344827586207	1	1	0.0459770114942529	0.0574712643678161	0	0	0.0229885057471264	0	0	0	0	0	0.448275862068966	1	0.0689655172413793	0.32183908045977	0	0.310344827586207	0.0689655172413793	0	0	0	1	0.0114942528735632	0.0344827586206897	0	0.0689655172413793	0.0574712643678161	0.0459770114942529	0	0	0	0.195402298850575	1	0.0344827586206897	0	0	0	0	0.0114942528735632	0	0	0.0459770114942529
Acanthoeca_sp_10tr	0.0804597701149425		0.0574712643678161	0.0804597701149425	0	0.0459770114942529	0.0804597701149425	0	0	0	0.0804597701149425	0.0804597701149425	0.0804597701149425	0.0804597701149425	0	0	0.0804597701149425	0	0	0.0804597701149425	0	0.0804597701149425	0	0	0.0229885057471264	0	0	0	0	0.0574712643678161	0	0	0	0.0804597701149425	0	0	0	0.0804597701149425	0	0.0804597701149425	0	0.0804597701149425	0	0	0	0.0229885057471264	0	0	0	0	0	0	0.0804597701149425	0	0.0804597701149425	0.0804597701149425	0	0	0	0	0	0	0	0	0	0	0	0.0804597701149425	0	0.0344827586206897	0	0.0229885057471264	0	0	0	0	0.0804597701149425	0	0	0	0	0	0	0	0	0	0.0804597701149425	0.0804597701149425	0	0	0	0	0	0	0	0	0
Acanthoeca_spectabilis_VA_02	0.0574712643678161	0.0574712643678161		0.0574712643678161	0	0.0229885057471264	0.0574712643678161	0	0	0	0.0574712643678161	0.0574712643678161	0.0574712643678161	0.0574712643678161	0	0	0.0574712643678161	0	0	0.0574712643678161	0	0.0574712643678161	0	0	0.0229885057471264	0	0	0	0	0.0574712643678161	0	0	0	0.0574712643678161	0	0	0	0.0574712643678161	0	0.0574712643678161	0	0.0574712643678161	0	0	0	0	0	0	0	0	0	0	0.0574712643678161	0	0.0574712643678161	0.0574712643678161	0	0	0	0	0	0	0	0	0	0	0	0.0574712643678161	0	0.0114942528735632	0	0	0	0	0	0	0.0574712643678161	0	0	0	0	0	0	0	0	0	0.0574712643678161	0.0574712643678161	0	0	0	0	0	0	0	0	0
Aiptasia_pallida	1	0.0804597701149425	0.0574712643678161		0.0114942528735632	0.344827586206897	0.379310344827586	0	0	0.0229885057471264	1	0.413793103448276	1	1	0.241379310344828	0	0.275862068965517	0	0.0459770114942529	1	0.0344827586206897	0.551724137931034	0	0	0.0689655172413793	0.0459770114942529	0	0	0	0.103448275862069	0	0	0	0.735632183908046	0	0	0	0.816091954022989	0.0919540229885057	1	0.0689655172413793	1	0.241379310344828	0.0114942528735632	0.0114942528735632	0.310344827586207	0.620689655172414	0	0.425287356321839	0	0	0	1	0.310344827586207	1	1	0.0459770114942529	0.0574712643678161	0	0	0.0229885057471264	0	0	0	0	0	0.448275862068966	1	0.0689655172413793	0.32183908045977	0	0.310344827586207	0.0689655172413793	0	0	0	1	0.0114942528735632	0.0344827586206897	0	0.0689655172413793	0.0574712643678161	0.0459770114942529	0	0	0	0.195402298850575	1	0.0344827586206897	0	0	0	0	0.0114942528735632	0	0	0.0459770114942529
Alatina_alata	0.0114942528735632	0	0	0.0114942528735632		0.0114942528735632	0	0	0	0	0.0114942528735632	0	0.0114942528735632	0.0114942528735632	0	0	0	0	0.0114942528735632	0.0114942528735632	0	0	0	0	0	0.0114942528735632	0	0	0	0	0	0	0	0.0114942528735632	0	0	0	0.0114942528735632	0	0.0114942528735632	0.0114942528735632	0.0114942528735632	0	0.0114942528735632	0.0114942528735632	0	0.0114942528735632	0	0	0	0	0	0.0114942528735632	0.0114942528735632	0.0114942528735632	0.0114942528735632	0	0	0	0	0	0	0	0	0	0	0.0114942528735632	0.0114942528735632	0	0	0	0	0	0	0	0	0.0114942528735632	0.0114942528735632	0	0	0.0114942528735632	0	0	0	0	0	0.0114942528735632	0.0114942528735632	0	0	0	0	0	0.0114942528735632	0	0	0.0114942528735632
Amoebidium_parasiticum_JAP72	0.344827586206897	0.0459770114942529	0.0229885057471264	0.344827586206897	0.0114942528735632		0.333333333333333	0	0	0.0114942528735632	0.344827586206897	0.333333333333333	0.344827586206897	0.344827586206897	0.241379310344828	0	0.0689655172413793	0	0.0114942528735632	0.344827586206897	0	0.333333333333333	0	0	0.0229885057471264	0.0114942528735632	0	0	0	0.0229885057471264	0	0	0	0.344827586206897	0	0	0	0.344827586206897	0	0.344827586206897	0.0114942528735632	0.344827586206897	0.160919540229885	0.0114942528735632	0.0114942528735632	0.310344827586207	0.0114942528735632	0	0.241379310344828	0	0	0	0.344827586206897	0.0114942528735632	0.344827586206897	0.344827586206897	0	0	0	0	0.0229885057471264	0	0	0	0	0	0.0114942528735632	0.344827586206897	0	0.32183908045977	0	0.310344827586207	0	0	0	0	0.344827586206897	0.0114942528735632	0	0	0.0114942528735632	0.0229885057471264	0	0	0	0	0.114942528735632	0.344827586206897	0	0	0	0	0	0.0114942528735632	0	0	0.0114942528735632
Amphimedon_queenslandica	0.379310344827586	0.0804597701149425	0.0574712643678161	0.379310344827586	0	0.333333333333333		0	0	0.0114942528735632	0.379310344827586	0.379310344827586	0.379310344827586	0.379310344827586	0.241379310344828	0	0.114942528735632	0	0	0.379310344827586	0	0.379310344827586	0	0	0.0229885057471264	0	0	0	0	0.0574712643678161	0	0	0	0.379310344827586	0	0	0	0.379310344827586	0	0.379310344827586	0	0.379310344827586	0.160919540229885	0	0	0.310344827586207	0	0	0.241379310344828	0	0	0	0.379310344827586	0	0.379310344827586	0.379310344827586	0	0	0	0	0.0229885057471264	0	0	0	0	0	0	0.379310344827586	0	0.32183908045977	0	0.310344827586207	0	0	0	0	0.379310344827586	0	0	0	0	0.0229885057471264	0	0	0	0	0.137931034482759	0.379310344827586	0	0	0	0	0	0	0	0	0
Antipathes_caribbeana	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aphrocallistes_vastus	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aplysia_californica	0.0229885057471264	0	0	0.0229885057471264	0	0.0114942528735632	0.0114942528735632	0	0		0.0229885057471264	0.0114942528735632	0.0229885057471264	0.0229885057471264	0	0	0	0	0	0.0229885057471264	0	0.0114942528735632	0	0	0	0.0114942528735632	0	0	0	0	0	0	0	0.0229885057471264	0	0	0	0.0229885057471264	0.0114942528735632	0.0229885057471264	0	0.0229885057471264	0	0	0	0.0114942528735632	0.0114942528735632	0	0	0	0	0	0.0229885057471264	0.0114942528735632	0.0229885057471264	0.0229885057471264	0	0	0	0	0.0114942528735632	0	0	0	0	0	0.0114942528735632	0.0229885057471264	0	0.0114942528735632	0	0.0114942528735632	0	0	0	0	0.0229885057471264	0	0	0	0	0.0114942528735632	0	0	0	0	0.0114942528735632	0.0229885057471264	0	0	0	0	0	0	0	0	0.0114942528735632
